a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.linkquality	a.linklowquality	a.commentsnotes	a.rank	m._domain_url	m._ql_title	m._unkvalue	m._control	m._ql_url
viveca	115	115	c942e46658658f487165b64198f0100f	1865http://www.stevenspointjournal.com/	2015-03-20	ql20150318	2			1	http://www.stevenspointjournal.com/	Events	n1865	1865	http://search.stevenspointjournal.com/localevents
viveca	126	126	00d6806e6675b5bf45106fecd75d892f	1750http://www.searsoutlet.com/	2015-03-20	ql20150318	1			0	http://www.searsoutlet.com/	Cooking Appliances	n1750	1750	http://searsoutlet.com/Cooking-Appliances/d/category.jsp?cid=194
viveca	126	126	23359db8c026a1c46e003da9e5adb0ac	1754http://www.searsoutlet.com/	2015-03-20	ql20150318	2			4	http://www.searsoutlet.com/	Customer Service	n1754	1754	http://www.searsoutlet.com/d/static/customer_service.jsp
viveca	126	126	2ef3b17aa6f8ea744b1da81598225d00	1753http://www.searsoutlet.com/	2015-03-20	ql20150318	3	Topic too specific		3	http://www.searsoutlet.com/	Products	n1753	1753	http://www.searsoutlet.com/Patio-Furniture/d/products.jsp?cid=919
viveca	126	126	3c7b74dbba6e8eb5534a89d06cd30783	1755http://www.searsoutlet.com/	2015-03-20	ql20150318	2			5	http://www.searsoutlet.com/	Store List	n1755	1755	http://www.searsoutlet.com/d/stores_list.jsp
viveca	126	126	49c33e0260d8df7aa2d3f1c1d8194a68	1751http://www.searsoutlet.com/	2015-03-20	ql20150318	1			1	http://www.searsoutlet.com/	Washers & Dryers	n1751	1751	http://searsoutlet.com/Washers-Dryers/d/category.jsp?cid=507
viveca	126	126	5f9a2c0226f173af5b9e75a4134d6b15	1756http://www.searsoutlet.com/	2015-03-20	ql20150318	3	Topic too specific		6	http://www.searsoutlet.com/	Sears Outlet Blog	n1756	1756	https://blog.searsoutlet.com/
viveca	126	126	6c010ef7d63de684837fcee94a807044	1752http://www.searsoutlet.com/	2015-03-20	ql20150318	4		Same as home page	2	http://www.searsoutlet.com/	Category	n1752	1752	http://searsoutlet.com/d/category.jsp
viveca	128	128	1691f6854b3c784efbadfe2d687cd58b	1281http://www.johnlegend.com/	2015-03-20	ql20150318	4		Landing page for main URL	6	http://www.johnlegend.com/	Visit Official Website	n1281	1281	http://www.johnlegend.com/us/node/2920
viveca	128	128	2185927328299579bfb6e5e5ef92438d	1277http://www.johnlegend.com/	2015-03-20	ql20150318	3	Topic too specific		2	http://www.johnlegend.com/	About	n1277	1277	http://www.johnlegend.com/us/about
viveca	128	128	5fa4a93256f44d21de7064dcb5b2c9c3	1280http://www.johnlegend.com/	2015-03-20	ql20150318	4	Topic too specific		5	http://www.johnlegend.com/	All Me Tiesto Remix	n1280	1280	http://www.johnlegend.com/us/news/all-me-tiesto-remix
viveca	128	128	777bf19994b53d211237365edbdd2694	1275http://www.johnlegend.com/	2015-03-20	ql20150318	1			0	http://www.johnlegend.com/	Music	n1275	1275	http://johnlegend.com/us/music
viveca	128	128	7c5594346122c543f331e83f03f66737	1276http://www.johnlegend.com/	2015-03-20	ql20150318	1			1	http://www.johnlegend.com/	ALL OF ME TOUR	n1276	1276	http://johnlegend.com/us/news/all-me-tour
viveca	128	128	b741acc772fb5791a24543fec6222706	1279http://www.johnlegend.com/	2015-03-20	ql20150318	4	Topic too specific		4	http://www.johnlegend.com/	All Me Lindsey Stirling	n1279	1279	http://www.johnlegend.com/us/news/all-me-lindsey-stirling
viveca	128	128	db67e22c331125935dd59e812a3c6034	1282http://www.johnlegend.com/	2015-03-20	ql20150318	1			7	http://www.johnlegend.com/	News Front	n1282	1282	https://www.johnlegend.com/us/news_front
viveca	128	128	fff225857c968ea789cc9ae4cf61ce03	1278http://www.johnlegend.com/	2015-03-20	ql20150318	4	Topic too specific		3	http://www.johnlegend.com/	United States	n1278	1278	http://www.johnlegend.com/us/music/love-future
viveca	132	132	01f744543bd482c145e023553c4c3170	856http://www.ancestry.com/	2015-03-20	ql20150318	1			2	http://www.ancestry.com/	Search Historical Records	n856	856	http://search.ancestry.com
viveca	132	132	1cb89963334ccb61cf4e0b9e7d796772	855http://www.ancestry.com/	2015-03-20	ql20150318	1			1	http://www.ancestry.com/	Search	n855	855	http://search.ancestry.com
viveca	132	132	3a12f8222365120c47c5b109a4f9879e	857http://www.ancestry.com/	2015-03-20	ql20150318	3	Topic too specific		3	http://www.ancestry.com/	Birth, Marriage & Death	n857	857	http://search.ancestry.com/search/category.aspx?cat=34
viveca	132	132	7c1b04d96488be5857e04fc246b0e1a5	854http://www.ancestry.com/	2015-03-20	ql20150318	1			0	http://www.ancestry.com/	Search	n854	854	http://ancestry.com/search
viveca	132	132	abd3faad877d937c222bf8509558ae38	859http://www.ancestry.com/	2015-03-20	ql20150318	3	Topic too specific		5	http://www.ancestry.com/	Public Member Trees	n859	859	http://search.ancestry.com/search/db.aspx?dbid=1030
viveca	132	132	ba77dd74b67ce396e39d2896ecc9ab3e	861http://www.ancestry.com/	2015-03-20	ql20150318	4	Topic too specific		7	http://www.ancestry.com/	Surname Facts	n861	861	http://www.ancestry.com/learn/facts/
viveca	132	132	e7a9e2bf2a1afe22507d41aba40f216d	858http://www.ancestry.com/	2015-03-20	ql20150318	4	Topic too specific		4	http://www.ancestry.com/	Census & Voter Lists	n858	858	http://search.ancestry.com/search/category.aspx?cat=35
viveca	132	132	ef68fc417651e7bd577371c021106753	860http://www.ancestry.com/	2015-03-20	ql20150318	2			6	http://www.ancestry.com/	Family Trees	n860	860	http://trees.ancestry.com/Default.aspx?req=tree
viveca	147	147	0acc87ea60a0c738a35e78b33cf919fb	1611http://www.politika.rs/	2015-03-20	ql20150318	5			0	http://www.politika.rs/	Svet : Strana 1	n1611	1611	http://politika.rs/rubrike/Svet/index.1.lt.html
viveca	147	147	567fe5d117d749e7d38e0bd19bbc4304	1614http://www.politika.rs/	2015-03-20	ql20150318	5			3	http://www.politika.rs/	Malinu Sprzila Cena	n1614	1614	http://www.politika.rs/rubrike/tema-dana/Malinu-sprzila-cena.lt.html
viveca	147	147	6784d12e674914a9bd5ed0d48dbf8c4a	1612http://www.politika.rs/	2015-03-20	ql20150318	5			1	http://www.politika.rs/	Society	n1612	1612	http://www.politika.rs/rubrike/Drustvo/index.1.sr.html
viveca	147	147	6b88e9170421b7e19ae065ac2b4385fa	1615http://www.politika.rs/	2015-03-20	ql20150318	5			4	http://www.politika.rs/	Trece Dete Ceka Novi ...	n1615	1615	http://www.politika.rs/rubrike/tema-dana/Trece-dete-ceka-novi-zakon.lt.html
viveca	147	147	7555e2ab1bd43c0a062117a6effdb8e8	1616http://www.politika.rs/	2015-03-20	ql20150318	5			5	http://www.politika.rs/	Zakon O Penzijama U ...	n1616	1616	http://www.politika.rs/rubrike/tema-dana/Zakon-o-penzijama-u-ponedeljak.lt.html
viveca	147	147	f28a3c9f7f63dc55c1bd5dadd6101d4a	1613http://www.politika.rs/	2015-03-20	ql20150318	5			2	http://www.politika.rs/	Sport	n1613	1613	http://www.politika.rs/rubrike/Sport/sport.sr.html
viveca	147	147	f51e8e392a17d1530e3241f721516759	1617http://www.politika.rs/	2015-03-20	ql20150318	5			6	http://www.politika.rs/	Generalni Shtrajk ...	n1617	1617	http://www.politika.rs/rubrike/vesti-dana/Generalni-shtrajk-prosvetnih-radnika.lt.html
viveca	153	153	034a26366e7d22b212bbe5a919fe99c1	2496https://www.pinterest.com/	2015-03-20	ql20150318	1			4	https://www.pinterest.com/	Food & Drink	n2496	2496	http://www.pinterest.com/all/food_drink/
viveca	153	153	306ee3f56fec87d678f52d5a417867d5	2498https://www.pinterest.com/	2015-03-20	ql20150318	1			6	https://www.pinterest.com/	DIY & Crafts	n2498	2498	https://www.pinterest.com/all/diy_crafts/
viveca	153	153	30f9a03239e78c80b7aa7ec202829577	2493https://www.pinterest.com/	2015-03-20	ql20150318	1			1	https://www.pinterest.com/	Holidays & Events	n2493	2493	http://pinterest.com/all/holidays_events
viveca	153	153	3dea5efdb7ce6c4f1762eb5e0f9c1b80	2492https://www.pinterest.com/	2015-03-20	ql20150318	4	Other	Too broad	0	https://www.pinterest.com/	Everything	n2492	2492	http://pinterest.com/all/
viveca	153	153	6472fb5fb8da7c53ad039104dea470b2	2495https://www.pinterest.com/	2015-03-20	ql20150318	3	Topic too specific		3	https://www.pinterest.com/	Everything Mashable ...	n2495	2495	http://pinterest.com/mashable/everything-pinterest
viveca	153	153	80f484c7da68e0397abcad0f0f279be3	2500https://www.pinterest.com/	2015-03-20	ql20150318	1			8	https://www.pinterest.com/	Popular	n2500	2500	https://www.pinterest.com/popular/
viveca	153	153	d36bf3b1ffe98948077aee1b5f4029fa	2497https://www.pinterest.com/	2015-03-20	ql20150318	1			5	https://www.pinterest.com/	Holidays & Events	n2497	2497	http://www.pinterest.com/all/holidays_events/
viveca	153	153	edea5466caa0e550889e07ee8401b0ee	2499https://www.pinterest.com/	2015-03-20	ql20150318	2			7	https://www.pinterest.com/	Log In	n2499	2499	https://www.pinterest.com/login/
viveca	153	153	f578c667bd8bfb9933453b5642bca763	2494https://www.pinterest.com/	2015-03-20	ql20150318	1			2	https://www.pinterest.com/	Home Decor	n2494	2494	http://pinterest.com/all/home_decor
viveca	184	184	221bc4c6ced20a088bae23afc0dd0612	1346http://www.ldsmag.com/	2015-03-20	ql20150318	2			6	http://www.ldsmag.com/	Store	n1346	1346	https://www.ldsmag.com/store/
viveca	184	184	4bb5ab1b6509549f419a65f154392da8	1344http://www.ldsmag.com/	2015-03-20	ql20150318	4			4	http://www.ldsmag.com/	Median Magazine	n1344	1344	http://www.ldsmag.com/1/article/10777
viveca	184	184	7835badf13fcce861f0daf49198a5fa6	1345http://www.ldsmag.com/	2015-03-20	ql20150318	4	Topic too specific		5	http://www.ldsmag.com/	The Arbinger Institute	n1345	1345	http://www.ldsmag.com/author/the-arbinger-institute
viveca	184	184	a18520500b4f08b973f0343d4197ba25	1340http://www.ldsmag.com/	2015-03-20	ql20150318	5	404		0	http://www.ldsmag.com/	LDS Gospel Doctrine	n1340	1340	http://ldsmag.com/LDS-Church/LDS-Gospel-Doctrine
viveca	184	184	a8bc62507bb07b6cdafe1789ced23257	1341http://www.ldsmag.com/	2015-03-20	ql20150318	1			1	http://www.ldsmag.com/	News	n1341	1341	http://ldsmag.com/News/
viveca	184	184	ee69cfc5942ef4b3a1b7c3f4c98def0e	1343http://www.ldsmag.com/	2015-03-20	ql20150318	5	404		3	http://www.ldsmag.com/	Books	n1343	1343	http://ldsmag.com/www.meridianmagazine.com/books/index.html
viveca	184	184	fa3d501cdf570e86c7011543de3f89f1	1342http://www.ldsmag.com/	2015-03-20	ql20150318	4	Topic too specific		2	http://www.ldsmag.com/	Comments	n1342	1342	http://ldsmag.com/comments/
viveca	189	189	073d8bc27c09f0111709f17dc2113057	156http://coolmath.com/	2015-03-20	ql20150318	1			5	http://coolmath.com/	Precalculus Review	n156	156	http://www.coolmath.com/precalculus-review-calculus-intro/index.html
viveca	189	189	3400cd83d62d5cca101c2a616a39c1ef	155http://coolmath.com/	2015-03-20	ql20150318	4	Topic too specific		4	http://coolmath.com/	Properties	n155	155	http://www.coolmath.com/prealgebra/06-properties/index.html
viveca	189	189	8713d00ee67115d6d3a2bcc76c6d9a18	157http://coolmath.com/	2015-03-20	ql20150318	3	Topic too specific		6	http://coolmath.com/	Circles	n157	157	http://www.coolmath.com/reference/circles-geometry.html
viveca	189	189	a100ae280ea1e9849ac8478f617485ec	154http://coolmath.com/	2015-03-20	ql20150318	1			3	http://coolmath.com/	Pre-algebra	n154	154	http://www.coolmath.com/prealgebra/
