a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.titlequality	a.titlelowquality	a.linkquality	a.linklowquality	a.commentsnotes	a.rank	m._domain_url	m._ql_title	m._control	m._ql_url
josehernandez	24	24	da4d80349f6b997e80398fb495ea22e6	153http://mail.aol.com/	2014-10-16	quicklinks009	4	Irrelevant	4	Other		4	http://mail.aol.com/	Arkhaios	153	http://mail.aol.com/38065-111/aol-6/en-us/Suite.aspx
josehernandez	28	28	2266f44abcde597ba5a78c17dbcd7b2d	569http://www.cnet.com/	2014-10-17	quicklinks009	2	Other	2	Other	Title is too general while the landing page is more specific.	8	http://www.cnet.com/	Acer	569	http://www.cnet.com/laptops/acer-c7-chromebook/4505-3121_7-35536581.html
josehernandez	28	28	4608545188687dd2718bfbcb3f3bd743	566http://www.cnet.com/	2014-10-17	quicklinks009	4	Too long	4	Topic too specific		5	http://www.cnet.com/	4K hybrid Quattron Plus	566	http://www.cnet.com/8301-35303_1-57616417/sharp-boasts-game-changer-high-res-aquos-quattron-plus-tv/
josehernandez	28	28	5f9a6bcfa7cb976fce4fda270935a577	567http://www.cnet.com/	2014-10-17	quicklinks009	2	Other	2	Topic too specific	The landing page and the title do not completely match.	6	http://www.cnet.com/	Firefox 3	567	http://www.cnet.com/firefox/
josehernandez	28	28	9974cfdf97d7abc42cb9ff45b1b94c18	563http://www.cnet.com/	2014-10-17	quicklinks009	1		1			2	http://www.cnet.com/	How To	563	http://howto.cnet.com/
josehernandez	28	28	a063dd04bad39ceabc06ec29931a00f7	561http://www.cnet.com/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		0	http://www.cnet.com/	English	561	http://download.cnet.com/
josehernandez	28	28	ac792db262392f6e098d01e5394dd258	565http://www.cnet.com/	2014-10-17	quicklinks009	1		1			4	http://www.cnet.com/	Reviews	565	http://reviews.cnet.com/
josehernandez	28	28	acdd0347f0e49d09e120299a24d12185	568http://www.cnet.com/	2014-10-17	quicklinks009	1		1			7	http://www.cnet.com/	iPhone 5	568	http://www.cnet.com/iphone-5/
josehernandez	28	28	af03b975123aadeef7c25edced63d243	562http://www.cnet.com/	2014-10-17	quicklinks009	1		1			1	http://www.cnet.com/	Forums	562	http://forums.cnet.com/
josehernandez	28	28	cd749b7ed10ac15f571c47ac2c573e9f	564http://www.cnet.com/	2014-10-17	quicklinks009	1		1			3	http://www.cnet.com/	News	564	http://news.cnet.com/
josehernandez	28	28	fe5ffe1564a94ec431d6c3c7c78b4ce8	570http://www.cnet.com/	2014-10-17	quicklinks009	4	Bad capitalization,Irrelevant	4	Low quality	?!	9	http://www.cnet.com/	as its last iteration	570	http://www.cnet.com/news/iphone-5s-vs-iphone-5c-vs-iphone-5-specs-compared/
josehernandez	29	29	06703411e91b5979ab24b402ed649735	865http://www.gsn.com/	2014-10-18	quicklinks009	1		1			4	http://www.gsn.com/	All Games	865	http://www.gsn.com/games/
josehernandez	29	29	0ef38c8b4bfd961f64b6a40c10d017c5	866http://www.gsn.com/	2014-10-18	quicklinks009	1		1			5	http://www.gsn.com/	Super Slots	866	http://www.gsn.com/games/free/superslots/
josehernandez	29	29	6bcf7cb8f601453d6a45599e0ee25874	862http://www.gsn.com/	2014-10-18	quicklinks009	4	Poor truncation	4	Low quality,Other	Too general. The user might land anywhere.	1	http://www.gsn.com/	Casino	862	http://www.gsn.com/casino-games/
josehernandez	29	29	7a2b2c08875e8a562d7e5040d257d24a	867http://www.gsn.com/	2014-10-18	quicklinks009	1		1			6	http://www.gsn.com/	Wheel Of Fortune	867	http://www.gsn.com/games/free/wheel/
josehernandez	29	29	7bf0f0e2ec129a759e380158fde4369d	863http://www.gsn.com/	2014-10-18	quicklinks009	4	Irrelevant	4	Low quality		2	http://www.gsn.com/	SCRABBLE Cubes	863	http://www.gsn.com/cgi/cash/index.pl?game_id=35
josehernandez	29	29	df7409b533105fd87e22dd84418a9eee	861http://www.gsn.com/	2014-10-18	quicklinks009	4	Other	4	Other		0	http://www.gsn.com/	GSN.com	861	http://www.gsn.com/?ad_id=21vv8&mkt_partnerTag=blogs
josehernandez	29	29	eb956549c9d6e54de0a460341b5ed7d0	864http://www.gsn.com/	2014-10-18	quicklinks009	2		2		Soft mismatch	3	http://www.gsn.com/	Help Center	864	http://www.gsn.com/cgi/help/index.html
josehernandez	29	29	f43e9efd74c0ea370acb8b3a542d1c6e	868http://www.gsn.com/	2014-10-18	quicklinks009	1		1			7	http://www.gsn.com/	Chain Reaction	868	http://www.gsn.com/shows/chainreaction/
josehernandez	31	31	4cb38a316cfa27b22cd809d19a156b4d	33http://centurylink.net/	2014-10-16	quicklinks009	1		1			0	http://centurylink.net/	CenturyLink Small Business Portal	33	http://biz.centurylink.net/
josehernandez	31	31	59a8281d21774718ee03046e2f91c192	38http://centurylink.net/	2014-10-16	quicklinks009	4	Repetitive,Too long	3	Topic too specific		5	http://centurylink.net/	CenturyLink Speed Test	38	http://speedtest.centurylink.net/
josehernandez	31	31	627832d351e97115ebe5ab2b47e2acd1	35http://centurylink.net/	2014-10-16	quicklinks009	4	Irrelevant	4		Ditto.	2	http://centurylink.net/	Edit	35	http://centurylink.net/?sc_cid=ctlreslogin_home
josehernandez	31	31	7631b0a381971b7bb36beeca06c6a28a	34http://centurylink.net/	2014-10-16	quicklinks009	4	Irrelevant	4	Other	Edit as in Editorial? Edit as in Edition? This is the homepage...	1	http://centurylink.net/	Edit	34	http://centurylink.net/?inc=1
josehernandez	31	31	8fce97c42ce4fcb6e42841589ba22611	36http://centurylink.net/	2014-10-16	quicklinks009	4	Irrelevant	4	Other	Ditto bis.	3	http://centurylink.net/	Edit	36	http://centurylink.net/myaccount/
josehernandez	31	31	cf0b0a655886faa74607d3a62737c2b9	37http://centurylink.net/	2014-10-16	quicklinks009	4	Too long	4	Other	Isn&#39;t &quot;Account Reset&quot; expected by users in this cases?	4	http://centurylink.net/	inbox.centurylink.net	37	http://inbox.centurylink.net/
josehernandez	35	35	31c2db2c65b6694dd22da355d34e822e	66http://coolmath-games.com/	2014-10-17	quicklinks009	1		2			7	http://coolmath-games.com/	Science games	66	http://www.coolmath-games.com/1-science-games-01.html
josehernandez	35	35	37b226502a910637ece646a98260a455	60http://coolmath-games.com/	2014-10-17	quicklinks009	1		3	Topic too specific		1	http://coolmath-games.com/	Pool Geometry	60	http://www.coolmath-games.com/0-poolgeometry/index.html
josehernandez	35	35	47676cf810c6354fc344dd0ed919e578	62http://coolmath-games.com/	2014-10-17	quicklinks009	2	Repetitive	3	Topic too specific		3	http://coolmath-games.com/	Run 2 Game	62	http://www.coolmath-games.com/0-run-2/index.html
josehernandez	35	35	55c30a03cdbee8bebb60f8dd413609fb	59http://coolmath-games.com/	2014-10-17	quicklinks009	3	Too long	3	Topic too specific		0	http://coolmath-games.com/	Color World Game Color World	59	http://www.coolmath-games.com/0-color-world/index.html
josehernandez	35	35	7e222c87c7fbb70cc30d2c94066ea078	65http://coolmath-games.com/	2014-10-17	quicklinks009	1		1			6	http://coolmath-games.com/	All Games A-Z	65	http://www.coolmath-games.com/1-complete-game-list.html
josehernandez	35	35	a92fb93bc942933a9fdf1d4ebf6bc322	64http://coolmath-games.com/	2014-10-17	quicklinks009	2	Repetitive	3	Topic too specific		5	http://coolmath-games.com/	Run Game	64	http://www.coolmath-games.com/0-run/index.html
josehernandez	35	35	cbf360640fd6b40776ce663e33f6d34c	63http://coolmath-games.com/	2014-10-17	quicklinks009	1		3	Topic too specific		4	http://coolmath-games.com/	Run	63	http://www.coolmath-games.com/0-run/
josehernandez	35	35	f273a87c4ca50ff4f6fe5f93305f5b1d	61http://coolmath-games.com/	2014-10-17	quicklinks009	1		3	Topic too specific		2	http://coolmath-games.com/	Run 2	61	http://www.coolmath-games.com/0-run-2/
josehernandez	36	36	4d27053bcb2af42e1a1cd3d0d6e0a9dd	115http://flvs.net/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		1	http://flvs.net/	FLVS Icon	115	http://vsa.flvs.net/
josehernandez	36	36	6443d48b9335dda54fa76379c3ddd46e	121http://flvs.net/	2014-10-17	quicklinks009	2		2		Title is too general.	7	http://flvs.net/	Login	121	http://www.flvs.net/myFLVS/Pages/myFLVS.aspx
josehernandez	36	36	6f7298d0af7d534b876c8437c7a378ee	119http://flvs.net/	2014-10-17	quicklinks009	1		1			5	http://flvs.net/	World History	119	http://www.flvs.net/areas/flvscourses/Pages/Course%20Catalog/CourseListing.aspx?CourseID=96
josehernandez	36	36	75b9b68c0520f73215424d76cd39d61a	116http://flvs.net/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		2	http://flvs.net/	Learn more	116	http://www.flvs.net/Students/Pages/NCAA.aspx
josehernandez	36	36	8929749265a0b725fbaa13f13faf5104	117http://flvs.net/	2014-10-17	quicklinks009	1	Repetitive	1	Other	There is no need to specify the extension.	3	http://flvs.net/	Curriculum Specialist.pdf	117	http://www.flvs.net/areas/employment/Job%20Descriptions/Curriculum%20Specialist.pdf
josehernandez	36	36	98ff6a82005bd0559deb23aeced657dc	114http://flvs.net/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		0	http://flvs.net/	Careers	114	http://jobs.flvs.net/
josehernandez	36	36	9c6a5ebcda8093d2fbf8ea2338e3dea2	118http://flvs.net/	2014-10-17	quicklinks009	1		1		A bit long though	4	http://flvs.net/	GED & Adult Education Options	118	http://www.flvs.net/areas/faqs/Pages/GEDAdultEducationOptions.aspx
josehernandez	36	36	b86fb59c1970544990d8960662d7820f	120http://flvs.net/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		6	http://flvs.net/	Algebra 1 End-of-Course Assessment Practice Test For	120	http://www.flvs.net/areas/studentservices/EOC/Documents/Practice%20Test%20for%20flvs_net_Final.pdf
josehernandez	39	39	df9f4ad74c2206de6f3d0cb4e86eb997	58http://citibankonline.com/	2014-10-16	quicklinks009	4	Too long	4	Other		0	http://citibankonline.com/	offer.citibankonline.com	58	http://offer.citibankonline.com/
josehernandez	44	44	0505b1a618bd196f622d81d48bc5d2c2	233http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Too long,Bad capitalization	4	Other		0	http://sfbay.craigslist.org/	apts/housing for rent	233	http://sfbay.craigslist.org/apa/
josehernandez	44	44	1caca70fca36ddcbe9eaed6e3eec607e	240http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Other	4	Other	Again?	7	http://sfbay.craigslist.org/	0 favorites	240	http://sfbay.craigslist.org/sby/sec/
josehernandez	44	44	35bf978af5dbab03c9469187f09001a0	234http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Other,Bad capitalization	4		Ambiguous title.	1	http://sfbay.craigslist.org/	eby	234	http://sfbay.craigslist.org/eby/
josehernandez	44	44	4fc67ecd85fbd2114b33913734664603	238http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Bad capitalization	2			5	http://sfbay.craigslist.org/	pets	238	http://sfbay.craigslist.org/pet/
josehernandez	44	44	57ab8cb2dbb528aeaa36f0fb0b501246	241http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Bad capitalization	4	Other	Another ditto x2	8	http://sfbay.craigslist.org/	scz	241	http://sfbay.craigslist.org/scz/
josehernandez	44	44	659c81a7ccdfde97a26ea64423438011	237http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Garbage characters	4	Other		4	http://sfbay.craigslist.org/	<<	237	http://sfbay.craigslist.org/nby/vac/
josehernandez	44	44	7714cac5df2e983986f3453f52dc52e8	242http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Bad capitalization	1			9	http://sfbay.craigslist.org/	women seeking men	242	http://sfbay.craigslist.org/w4m/
josehernandez	44	44	95a3a3a775fd6c147cc31cef649c13a4	235http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Other,Bad capitalization	4	Other	Ditto.	2	http://sfbay.craigslist.org/	nby	235	http://sfbay.craigslist.org/nby/
josehernandez	44	44	a253ef21bcc86c7b6184cde782a33662	236http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Other,Bad capitalization	4	Other	Ditto bis.	3	http://sfbay.craigslist.org/	0 favorites	236	http://sfbay.craigslist.org/nby/boa/
josehernandez	44	44	f843d7513c9ffbf6e517dfadd5766575	239http://sfbay.craigslist.org/	2014-10-16	quicklinks009	4	Bad capitalization	4		Another ditto.	6	http://sfbay.craigslist.org/	sby	239	http://sfbay.craigslist.org/sby/
josehernandez	50	50	41b59ee1039e1da31229382f84b9b57c	72http://denverlibrary.org/	2014-10-17	quicklinks009	4	Poor truncation	4	Low quality		5	http://denverlibrary.org/	WH/G Home	72	http://history.denverlibrary.org/
josehernandez	50	50	4add077bfa06d5f864e555980e0936c0	74http://denverlibrary.org/	2014-10-17	quicklinks009	1		1			7	http://denverlibrary.org/	Locations & Hours	74	http://www.denverlibrary.org/locations
josehernandez	50	50	57bbbc491d018cc995d37fef737793a1	67http://denverlibrary.org/	2014-10-17	quicklinks009	1		1			0	http://denverlibrary.org/	Catalog	67	http://catalog.denverlibrary.org/
josehernandez	50	50	581ec190820c7a775f4d09e119420ba0	69http://denverlibrary.org/	2014-10-17	quicklinks009	4	Other,Bad capitalization	4		The wording of the title and that of the landing page are different.	2	http://denverlibrary.org/	selective depository	69	http://denverlibrary.org/federal-depository
josehernandez	50	50	66585341a9bc16bed1a4696d64885d96	75http://denverlibrary.org/	2014-10-17	quicklinks009	2		2		The title is too short. The noun &quot;resources&quot; was necessary. Research is too broad.	8	http://denverlibrary.org/	Research	75	http://www.denverlibrary.org/research
josehernandez	50	50	6d4908e02f4c84c08140ddb8c457275b	73http://denverlibrary.org/	2014-10-17	quicklinks009	1		1			6	http://denverlibrary.org/	Byers Branch Library	73	http://www.denverlibrary.org/content/byers-branch-library
josehernandez	50	50	a676749ce604ed1ac84a5cb71a5fac48	71http://denverlibrary.org/	2014-10-17	quicklinks009	1		1			4	http://denverlibrary.org/	Digital Collections	71	http://digital.denverlibrary.org/
josehernandez	50	50	cb2d166ea6dfe229c881420fefbe4d86	68http://denverlibrary.org/	2014-10-17	quicklinks009	4	Bad capitalization	1			1	http://denverlibrary.org/	book signing	68	http://denverlibrary.org/category/free-tagging/book-signing
josehernandez	50	50	f4e11ae4f7acdc236d0ee12779e70e6c	70http://denverlibrary.org/	2014-10-17	quicklinks009	1		1			3	http://denverlibrary.org/	Young Miss Holmes. Casebook 1-2	70	http://denverlibrary.org/review/young-miss-holmes-casebook-1-2
josehernandez	52	52	0cfffee33fc593bc97b40f7a1319bde9	737http://www.flalottery.com/	2014-10-18	quicklinks009	1		1			4	http://www.flalottery.com/	Powerball	737	http://flalottery.com/powerball.do
josehernandez	52	52	1a559230f80c48448219a6ee35375a86	733http://www.flalottery.com/	2014-10-18	quicklinks009	4	Other	4	Time-sensitive		0	http://www.flalottery.com/	PDF	733	http://flalottery.com/exptkt/ff.pdf
josehernandez	52	52	6572ce018fa23bb430888d6961c8eb26	739http://www.flalottery.com/	2014-10-18	quicklinks009	1		1			6	http://www.flalottery.com/	Win	739	http://flalottery.com/winningNumbers.do
josehernandez	52	52	86c1e7ecabd527ed85027e95fa221706	735http://www.flalottery.com/	2014-10-18	quicklinks009	4	Irrelevant	4	Low quality		2	http://www.flalottery.com/	Skip Navigation	735	http://flalottery.com/lifeFamily.do
josehernandez	52	52	8a1219711ff18b6a1cb8eb70332b8a3f	736http://www.flalottery.com/	2014-10-18	quicklinks009	1		1			3	http://www.flalottery.com/	Mega Millions	736	http://flalottery.com/megaMillions.do
josehernandez	52	52	94aa2219dbbecbc9ef840163609ea851	734http://www.flalottery.com/	2014-10-18	quicklinks009	1		1			1	http://www.flalottery.com/	Fantasy 5	734	http://flalottery.com/fantasy5.do
josehernandez	52	52	cb698e821f61f84a83088dee42360125	740http://www.flalottery.com/	2014-10-18	quicklinks009	5		5	Other		7	http://www.flalottery.com/	Hoja de datos de JUEGOS RASPADITOS	740	http://www.flalottery.com/exptkt/FactSheetScratchoff.pdf
josehernandez	52	52	e50117bc386e4520889ca047448434e8	738http://www.flalottery.com/	2014-10-18	quicklinks009	4	Irrelevant	4	Low quality		5	http://www.flalottery.com/	Skip Navigation	738	http://flalottery.com/pressRelease.do?searchID=197327
josehernandez	53	53	069e5bb47d8d0b824445049137f2ee40	166http://motherless.com/	2014-10-17	quicklinks009	1		1			2	http://motherless.com/	Tanya y157	166	http://motherless.com/g/tanya_y157
josehernandez	53	53	0e388d79d4f775a5ae6f3ec85cf076fa	171http://motherless.com/	2014-10-17	quicklinks009	4	Irrelevant	4	Other	Mismatch	7	http://motherless.com/	Videos	171	http://motherless.com/videos
josehernandez	53	53	14e7bef66777d028a2db97b01ad6d3c0	172http://motherless.com/	2014-10-17	quicklinks009	2		2			8	http://motherless.com/	Most Favorited	172	http://motherless.com/videos/favorited
josehernandez	53	53	1d7ab2b81bb86976875f530c2650be79	169http://motherless.com/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		5	http://motherless.com/	All Media	169	http://motherless.com/live
josehernandez	53	53	24c4f05c1708f54d3b3c75fbed60cfe8	164http://motherless.com/	2014-10-17	quicklinks009	1		1			0	http://motherless.com/	Clothed and Unclothed	164	http://motherless.com/g/clothed_and_unclothed
josehernandez	53	53	31db45bafb4849684376a6ddbaf95f11	167http://motherless.com/	2014-10-17	quicklinks009	4	Poor truncation	4		Too general	3	http://motherless.com/	Groups	167	http://motherless.com/groups
josehernandez	53	53	3b614fc5eac01f0b6ba363dc2304852c	168http://motherless.com/	2014-10-17	quicklinks009	4	Other	4	Topic too specific		4	http://motherless.com/	Videos [6,371]	168	http://motherless.com/gv/men_flashing_women_in_public__real_
josehernandez	53	53	43057b81f374b288c3033374978cfde6	165http://motherless.com/	2014-10-17	quicklinks009	1		1			1	http://motherless.com/	Incest Chat	165	http://motherless.com/g/incest_chat
josehernandez	53	53	c43faadc939e73afe7c12c8e1c1b81b8	170http://motherless.com/	2014-10-17	quicklinks009	4	Irrelevant	4	Other	Title Mismatch	6	http://motherless.com/	Live	170	http://motherless.com/live/videos
josehernandez	58	58	0814de255d6f849a5d137b2204c1adef	620http://www.democratandchronicle.com/	2014-10-17	quicklinks009	1		1			3	http://www.democratandchronicle.com/	Business	620	http://www.democratandchronicle.com/business/
josehernandez	58	58	25b52d288ff1bd0660ff7497a4189a59	622http://www.democratandchronicle.com/	2014-10-17	quicklinks009	4		5			5	http://www.democratandchronicle.com/	canonical	622	http://www.democratandchronicle.com/story/news/2014/01/31/police-woman-charged-fatal-webster-crash/5079545/
josehernandez	58	58	3527a01e419a854214f231ae13874e57	619http://www.democratandchronicle.com/	2014-10-17	quicklinks009	1		1			2	http://www.democratandchronicle.com/	RocDocs	619	http://rocdocs.democratandchronicle.com/
josehernandez	58	58	370863a9623df8d08be5cc8260e8679f	617http://www.democratandchronicle.com/	2014-10-17	quicklinks009	1		1			0	http://www.democratandchronicle.com/	Classifieds	617	http://classifieds.democratandchronicle.com/
josehernandez	58	58	51b61d4f06027f6ceb0499c2b0ed6185	625http://www.democratandchronicle.com/	2014-10-17	quicklinks009	4	Too long,Bad capitalization	4	Topic too specific		8	http://www.democratandchronicle.com/	M.E. confirms Rowley St. body is Matthew Straton	625	http://www.democratandchronicle.com/story/news/local/2014/01/15/police-investigate-suspicious-condition-in-park-ave-area/4502721/
josehernandez	58	58	613ee4fa2e9f15799410d95cb64c2b04	624http://www.democratandchronicle.com/	2014-10-17	quicklinks009	4	Other,Bad capitalization	4	Other	Mismatch	7	http://www.democratandchronicle.com/	killed Friday night	624	http://www.democratandchronicle.com/story/news/local/2013/12/14/one-dead-in-crash-on-dewey-avenue-in-rochester/4022421/
josehernandez	58	58	ddbf288f4bd08f7a08db94cebcc66042	621http://www.democratandchronicle.com/	2014-10-17	quicklinks009	4	Other,Bad capitalization	4	Other	Mismatch	4	http://www.democratandchronicle.com/	communities	621	http://www.democratandchronicle.com/news/
josehernandez	58	58	e84ee38e0375c8f4fb69a061e8e14e7c	618http://www.democratandchronicle.com/	2014-10-17	quicklinks009	4	Other	4	Other	Title mismatch	1	http://www.democratandchronicle.com/	MIE	618	http://mie.democratandchronicle.com/
josehernandez	58	58	f0c2ab347bba72a8b8599945020a1e8b	623http://www.democratandchronicle.com/	2014-10-17	quicklinks009	4	Too long,Bad capitalization	4	Topic too specific		6	http://www.democratandchronicle.com/	Golisano offers $3.4M to buy Kearney property	623	http://www.democratandchronicle.com/story/news/2014/02/19/bishop-kearney-thomas-golisano/5617315/
josehernandez	62	62	09f881df9fdf2a7a383ecb1c0a07bcb4	545http://www.centura.org/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		5	http://www.centura.org/	Our Facilities & Services	545	http://www.centura.org/ourfacilities
josehernandez	62	62	286d6aaea7ef4bcb4dc11ae961bdd2b8	544http://www.centura.org/	2014-10-17	quicklinks009	4	Too long,Irrelevant	4	Topic too specific		4	http://www.centura.org/	Penrose-St. Francis Health Services	544	http://www.centura.org/insurance-penrose-st-francis
josehernandez	62	62	523979425c6c58f34b807c513cc33075	541http://www.centura.org/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		1	http://www.centura.org/	Castle Rock Adventist Hospital Careers	541	http://www.centura.org/careers
josehernandez	62	62	a3c552405de311ee6005551c8c0eaa45	542http://www.centura.org/	2014-10-17	quicklinks009	4	Too long	2	Topic too specific		2	http://www.centura.org/	Our Hospital Entities	542	http://www.centura.org/hospitals
josehernandez	62	62	af462d455b49fab1743b7aad90b4d796	546http://www.centura.org/	2014-10-17	quicklinks009	4	Irrelevant	4	Low quality		6	http://www.centura.org/	Physician Opportunities	546	http://www.centura.org/physician-opportunities
josehernandez	62	62	bfec3161b7256f604f19825a1410540a	540http://www.centura.org/	2014-10-17	quicklinks009	3	Irrelevant	3	Low quality		0	http://www.centura.org/	Centura Logo	540	http://careers.centura.org/
josehernandez	62	62	ccf60973f11788ffc0822b9172b34473	543http://www.centura.org/	2014-10-17	quicklinks009	4	Irrelevant	4	Topic too specific		3	http://www.centura.org/	Avista Adventist Hospital	543	http://www.centura.org/insurance-avista
josehernandez	70	70	05f08e994f4d49ed433cb5cef982933e	334http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	4	Irrelevant	4	Other	It&#39;s for a different query.	6	http://www.americansignaturefurniture.com/	Jordan Twin Corner Bed	334	http://www.americansignaturefurniture.com/kids-furniture/kids-furniture/twin-beds/jordan-twin-corner-bed/1581096.aspx
josehernandez	70	70	356e315426325c47f90f6c04b9273467	336http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	1		1			8	http://www.americansignaturefurniture.com/	Siesta Swivel Glider Recliner	336	http://www.americansignaturefurniture.com/living-room-furniture/upholstery/recliners-rockers/siesta-swivel-glider-recliner/1604175.aspx
josehernandez	70	70	4f3f1b28c0af8d655589fbb1d24e7ff7	337http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	1		1			9	http://www.americansignaturefurniture.com/	Terms and Conditions	337	http://www.americansignaturefurniture.com/shared/pages/customerservice/policy.aspx
josehernandez	70	70	5307496a35ee19b79049b820d1b746bf	329http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	1		1			1	http://www.americansignaturefurniture.com/	Duluth	329	http://ga.duluth.americansignaturefurniture.com/
josehernandez	70	70	54511d999a51c7679ce21240a7c93f46	335http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	1		1			7	http://www.americansignaturefurniture.com/	Living Rooms	335	http://www.americansignaturefurniture.com/living-room-furniture/living-rooms.aspx
josehernandez	70	70	69070ffcfb120af34a1b23ec655bfec2	333http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	4	Irrelevant	4	Other	It&#39;s for a different query.	5	http://www.americansignaturefurniture.com/	Room Collections	333	http://www.americansignaturefurniture.com/dining-room-furniture/collections.aspx
josehernandez	70	70	7cf3156e99adc473dc3bc301d287a673	330http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	1		1			2	http://www.americansignaturefurniture.com/	Store Locations	330	http://stores.americansignaturefurniture.com/
josehernandez	70	70	8214ede52049514163b8b3624f910984	332http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	1		1			4	http://www.americansignaturefurniture.com/	Bedrooms	332	http://www.americansignaturefurniture.com/bedroom-furniture/bedrooms.aspx
josehernandez	70	70	b64f7e26d0821ef3bc2e8fecdbf2e294	328http://www.americansignaturefurniture.com/	2014-10-17	quicklinks009	1		1			0	http://www.americansignaturefurniture.com/	Florida	328	http://fl.americansignaturefurniture.com/
