a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.qlvalue	a.rank
viveca	32	32	e0c16172e1f5e05f26f19b636698a059	2392http://kohlscareers.com/	2014-12-10	qlpatch	Definitely YES	2
viveca	32	32	f795fb2e6ee0ad2e1ac7b5e252a30675	2391http://kohlscareers.com/	2014-12-10	qlpatch	Definitely YES	1
viveca	33	33	e68bbda31d9ec557dbd71546bbde87d9	2393http://www.redtube.net.co/	2014-12-11	qlpatch	Uncertain	0
viveca	36	36	57f9bb476188d4270d0575b09c8f77fe	1986http://abcfamily.go.com/	2014-12-10	qlpatch	Uncertain	0
viveca	37	37	08ea129d263bb39cc44dc78a9aba6dfa	2001http://doctor.webmd.com/	2014-12-10	qlpatch	Uncertain	0
viveca	37	37	450dad70d67df7f50c90c08768b2da0b	2008http://doctor.webmd.com/	2014-12-10	qlpatch	Uncertain	7
viveca	37	37	4a6808dba44250746f7a88a335281340	2005http://doctor.webmd.com/	2014-12-10	qlpatch	Definitely YES	4
viveca	37	37	6ae64955611a29972fccf1ca3a9ddbfa	2006http://doctor.webmd.com/	2014-12-10	qlpatch	Uncertain	5
viveca	37	37	7da7fb758e120d1b4f72504983e911d3	2004http://doctor.webmd.com/	2014-12-10	qlpatch	Uncertain	3
viveca	37	37	930ee023913f5dff3ecf4a9dfc5d80d1	2007http://doctor.webmd.com/	2014-12-10	qlpatch	Uncertain	6
viveca	37	37	ab784cb87438fc018029290e0979e607	2002http://doctor.webmd.com/	2014-12-10	qlpatch	Uncertain	1
viveca	37	37	f0548ba17067fcb2b1bfa8620a4f6fcc	2003http://doctor.webmd.com/	2014-12-10	qlpatch	Uncertain	2
viveca	39	39	01f49edbd55821515695c3f05da508ef	2052https://locations.tcfbank.com/	2014-12-10	qlpatch	Definitely YES	6
viveca	39	39	2e68ae5104445062045f51e7600aa17d	2049https://locations.tcfbank.com/	2014-12-10	qlpatch	Uncertain	3
viveca	39	39	9e927b3d7cac0a3b3e0a9f0db61e59a9	2050https://locations.tcfbank.com/	2014-12-10	qlpatch	Uncertain	4
viveca	39	39	a98d9b1d09e2a92e9f6404034c277d22	2046https://locations.tcfbank.com/	2014-12-10	qlpatch	Definitely YES	0
viveca	39	39	c213f1d7349cf746a218be56357c7dbf	2048https://locations.tcfbank.com/	2014-12-10	qlpatch	Uncertain	2
viveca	39	39	c8d05d3894a482a9644bfce3891f5ad5	2047https://locations.tcfbank.com/	2014-12-10	qlpatch	Definitely YES	1
viveca	39	39	d6a990a74a631a077bd78f0ca019d98f	2051https://locations.tcfbank.com/	2014-12-10	qlpatch	Uncertain	5
viveca	39	39	daaa2180b41ff855b60a55d5173cc310	2054https://locations.tcfbank.com/	2014-12-10	qlpatch	Definitely YES	8
viveca	39	39	f910d5a600f3366e383176f677349ce2	2053https://locations.tcfbank.com/	2014-12-10	qlpatch	Uncertain	7
viveca	40	40	1eae794e12d66288c3462cdf144b6b4b	2405http://www.microsoft.com/	2014-12-10	qlpatch	Definitely YES	1
viveca	40	40	38aa7491d9fe6f4cc65d35a6d3a4e7de	2406http://www.microsoft.com/	2014-12-10	qlpatch	Uncertain	2
viveca	40	40	4918bc0af4869a70e23c2bed1e738188	2404http://www.microsoft.com/	2014-12-10	qlpatch	Definitely YES	0
viveca	40	40	b872c0662c84a1d95105e1088f77065e	2407http://www.microsoft.com/	2014-12-10	qlpatch	Uncertain	3
viveca	40	40	e57487982d34520b27c0fe5fc5f1713b	2408http://www.microsoft.com/	2014-12-10	qlpatch	Definitely YES	4
viveca	45	45	7220da87433607379900acd805f0e06a	2266http://commercialsearch.realtor.com/	2014-12-10	qlpatch	Uncertain	0
viveca	45	45	95a71ffb087d543bbb7f2c94a451d987	2267http://commercialsearch.realtor.com/	2014-12-10	qlpatch	Uncertain	1
viveca	46	46	4ef12a86a402dd8793df5cf8817c7002	2423https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	2
viveca	46	46	766ebad2c49a1b51acb78ba1b12a21e1	2425https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	4
viveca	46	46	77b9d527c10231f56d1c06f61b4ed04f	2426https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	5
viveca	46	46	8c2c9fc9f1ef453f909ce23d317554b6	2428https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	7
viveca	46	46	8f9cde0f0adf91da287be1344e20e89d	2424https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	3
viveca	46	46	c7ce2e5d34450108e28133b080c5066c	2422https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	1
viveca	46	46	d417ac5a51a5be2cfab8338a92839b82	2421https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	0
viveca	46	46	dce66983e9b7b393acabedf1115e5fd9	2427https://studentloans.gov/	2014-12-11	qlpatch	Uncertain	6
viveca	49	49	4a3ec09b02dc77f72ec0f2b12c08fe92	2451http://www.123greetings.com/	2014-12-10	qlpatch	Definitely NO	0
viveca	49	49	e4bdfc8f2a1d5cd74bc9ab102b3801c7	2452http://www.123greetings.com/	2014-12-10	qlpatch	Uncertain	1
viveca	53	53	add25519d76dd8e6d24793c0eaef68b6	2437http://www.mom-x.com/	2014-12-11	qlpatch	Uncertain	0
viveca	54	54	1d8f2a528c91eb0ae90399d92d0e97d4	2435http://careers.homedepot.com/	2014-12-10	qlpatch	Uncertain	1
viveca	54	54	2be324770b149ef36fdefc30b580b18a	2436http://careers.homedepot.com/	2014-12-10	qlpatch	Uncertain	2
viveca	54	54	f858b9deffde469233b1737ed1bc152b	2434http://careers.homedepot.com/	2014-12-10	qlpatch	Definitely YES	0
viveca	60	60	16902704feecdeeaf35e63bd67482fdd	47https://my.usajobs.gov/	2014-12-10	qlpatch	Definitely YES	3
viveca	60	60	274b6450b9dec11bf91d7b58296ce257	44https://my.usajobs.gov/	2014-12-10	qlpatch	Definitely YES	0
viveca	60	60	340ff188b3346af2a72ecb5a54aee70d	48https://my.usajobs.gov/	2014-12-10	qlpatch	Definitely NO	4
viveca	60	60	5df67f712e090d39a96d550554d89d1a	46https://my.usajobs.gov/	2014-12-10	qlpatch	Definitely YES	2
viveca	60	60	89f392ec51da2e6f78aa0d2c8cc9a391	45https://my.usajobs.gov/	2014-12-10	qlpatch	Uncertain	1
viveca	61	61	1d8bef1b082d1af043585ab30eac86f4	2459http://blog.netflix.com/	2014-12-10	qlpatch	Uncertain	6
viveca	61	61	337c661aa5649b62118362c43a9c1023	2461http://blog.netflix.com/	2014-12-10	qlpatch	Definitely NO	8
viveca	61	61	39e9840bb33a941520f92b844804dd11	2455http://blog.netflix.com/	2014-12-10	qlpatch	Definitely NO	2
viveca	61	61	3c40650696a25f33a64338401f13b261	2456http://blog.netflix.com/	2014-12-10	qlpatch	Definitely NO	3
viveca	61	61	436d9d64af2b0f4725d0faf7dde81806	2457http://blog.netflix.com/	2014-12-10	qlpatch	Definitely NO	4
viveca	61	61	63db9a3d188e3386f9ec8c8f508431eb	2453http://blog.netflix.com/	2014-12-10	qlpatch	Definitely NO	0
viveca	61	61	7ed7262ab20077f513d9c4902ab9f4cb	2454http://blog.netflix.com/	2014-12-10	qlpatch	Definitely NO	1
viveca	61	61	b5ae8e1d403fc03e933a33320ba489c7	2460http://blog.netflix.com/	2014-12-10	qlpatch	Definitely NO	7
viveca	61	61	d8ac2087cd975cfc51a0d8bf3fbddedc	2458http://blog.netflix.com/	2014-12-10	qlpatch	Uncertain	5
viveca	63	63	077e8812e89240b6d99cf737d0da1cac	114http://newsinfo.inquirer.net/	2014-12-10	qlpatch	Definitely NO	0
viveca	68	68	2c641fd141426ac6dec6a31f0124e561	2473http://careers.bankofamerica.com/	2014-12-10	qlpatch	Uncertain	2
viveca	68	68	51d06ce17ce8813ac96815b0668a44e3	2472http://careers.bankofamerica.com/	2014-12-10	qlpatch	Uncertain	1
viveca	68	68	f21f7823fbfa25d51f58157423d09233	2471http://careers.bankofamerica.com/	2014-12-10	qlpatch	Uncertain	0
viveca	71	71	24cfd2b09b69fab86955b0cdfb9f8306	2487http://my.earthlink.net/	2014-12-11	qlpatch	NJ	0
viveca	71	71	45cf3f104ccf35bb7b27e5739509cba7	2490http://my.earthlink.net/	2014-12-11	qlpatch	Uncertain	3
viveca	71	71	64268c09aba603b10613efe7788e377d	2491http://my.earthlink.net/	2014-12-11	qlpatch	Uncertain	4
viveca	71	71	bf7efcf2a914fbc511072012bb36ee56	2488http://my.earthlink.net/	2014-12-11	qlpatch	NJ	1
viveca	71	71	fe7f016e266188180cd6d70c1dd7ecba	2489http://my.earthlink.net/	2014-12-11	qlpatch	Uncertain	2
viveca	75	75	451cfc64522f91762f7358d3000e54b9	414http://thekrazycouponlady.com/	2014-12-10	qlpatch	Uncertain	0
viveca	75	75	6eb49b6f3d049ba2c770b5e9ac26c9e9	416http://thekrazycouponlady.com/	2014-12-10	qlpatch	Uncertain	2
viveca	75	75	a94fccbcac60265184cf3cf3cfb58212	418http://thekrazycouponlady.com/	2014-12-10	qlpatch	Uncertain	4
viveca	75	75	d6084e4441358b2ac83288c92fed990c	419http://thekrazycouponlady.com/	2014-12-10	qlpatch	Definitely NO	5
viveca	75	75	d90f77b857b63338cf4998749f0f4c52	417http://thekrazycouponlady.com/	2014-12-10	qlpatch	Uncertain	3
viveca	75	75	dc23bb68a6f9b0da7fa83cc0cad38612	420http://thekrazycouponlady.com/	2014-12-10	qlpatch	Uncertain	6
viveca	75	75	e2914ff2d0be3da22a53af0183116946	415http://thekrazycouponlady.com/	2014-12-10	qlpatch	Uncertain	1
viveca	76	76	251a15bf15ffb585f8d57c10c0aaa3c8	486http://www.car.com/	2014-12-10	qlpatch	Uncertain	0
viveca	76	76	59e68e32af73412028829d316eaab207	491http://www.car.com/	2014-12-10	qlpatch	Uncertain	5
viveca	76	76	7da611bff4e3d3a860f66a082c104743	487http://www.car.com/	2014-12-10	qlpatch	Uncertain	1
viveca	76	76	812a2e5548a46c4418c01a611ed0322c	488http://www.car.com/	2014-12-10	qlpatch	Definitely YES	2
viveca	76	76	cf30ce5a550256448a9b4a19a0b5c5de	490http://www.car.com/	2014-12-10	qlpatch	Definitely YES	4
viveca	76	76	e6c5e9a76db67c7eef1ed3d3e6afc7e4	489http://www.car.com/	2014-12-10	qlpatch	Definitely YES	3
viveca	78	78	54248123c4c7a8d112c4d2ef456266e7	2492https://www.paypal.com/	2014-12-11	qlpatch	Definitely NO	0
viveca	78	78	54e3d5052551fa3554826d449c97154d	2496https://www.paypal.com/	2014-12-11	qlpatch	NJ	4
viveca	78	78	97bafe389649af7619c848e7f5a69721	2497https://www.paypal.com/	2014-12-11	qlpatch	Definitely NO	5
viveca	78	78	a2acccc02bbdff7621a61fb5077cb096	2495https://www.paypal.com/	2014-12-11	qlpatch	Uncertain	3
viveca	78	78	bd7f9c24110cd06bf727e83b2a12d5fb	2494https://www.paypal.com/	2014-12-11	qlpatch	Uncertain	2
viveca	78	78	f9a16e06afbc5357e1d4c187d58f7b37	2493https://www.paypal.com/	2014-12-11	qlpatch	Uncertain	1
viveca	84	84	17c5609cc80b7143d203a84d3f14691a	688http://thepiratebay.ee/	2014-12-10	qlpatch	Uncertain	3
viveca	84	84	23a898b9c215ab5f199b2ea5afb1b384	692http://thepiratebay.ee/	2014-12-10	qlpatch	Definitely YES	7
viveca	84	84	3488052722743090a1c4ea72e430bf27	689http://thepiratebay.ee/	2014-12-10	qlpatch	Uncertain	4
viveca	84	84	3cb45becec53051ae5965f46cb4ea283	691http://thepiratebay.ee/	2014-12-10	qlpatch	Uncertain	6
viveca	84	84	3d6d5f6d0c41e329274a76ebca44b17c	690http://thepiratebay.ee/	2014-12-10	qlpatch	Uncertain	5
viveca	84	84	3ff10bc40b96250d9c2089f03d5777bb	686http://thepiratebay.ee/	2014-12-10	qlpatch	Uncertain	1
viveca	84	84	685fa11f2b3f4edee7ac6c8861ff96b4	687http://thepiratebay.ee/	2014-12-10	qlpatch	Uncertain	2
viveca	84	84	a4c693cb881de51e129bb3dd4b1005a9	685http://thepiratebay.ee/	2014-12-10	qlpatch	Definitely NO	0
viveca	87	87	c3649ad85369cd664078e8a975127e96	753https://www.usps.com/	2014-12-10	qlpatch	Uncertain	2
viveca	87	87	cc417eac48dd4a653bbb49186e51b2d2	751https://www.usps.com/	2014-12-10	qlpatch	Definitely NO	0
viveca	87	87	f7317cdd416a09a10da358c0514d9ae7	752https://www.usps.com/	2014-12-10	qlpatch	Uncertain	1
viveca	94	94	0d0347852ce5971d048dd9c365f12c48	873http://www.asus.com/	2014-12-10	qlpatch	Uncertain	1
viveca	94	94	4a987a2f194e76199d07c3f27e013546	872http://www.asus.com/	2014-12-10	qlpatch	Uncertain	0
viveca	103	103	24c47836a16574a7ec4503e7c13b366d	2551http://jobs.irs.gov/	2014-12-10	qlpatch	Uncertain	2
viveca	103	103	45f4a96fb41c3584a561d3881a6ba95c	2550http://jobs.irs.gov/	2014-12-10	qlpatch	Uncertain	1
viveca	103	103	482cc9dff975b5f50ad28023a1b59431	2554http://jobs.irs.gov/	2014-12-10	qlpatch	Uncertain	5
viveca	103	103	8f90cba06bb4a9ee7897bac68192b1e1	2555http://jobs.irs.gov/	2014-12-10	qlpatch	Definitely NO	6
viveca	103	103	b3c601a3129a398326813b45287aec98	2549http://jobs.irs.gov/	2014-12-10	qlpatch	Uncertain	0
viveca	103	103	ccbe6c96c031e1597845aedbc55cfddf	2553http://jobs.irs.gov/	2014-12-10	qlpatch	Uncertain	4
viveca	103	103	d65cd5cb1997607ccf713f02c95ad26d	2552http://jobs.irs.gov/	2014-12-10	qlpatch	Uncertain	3
viveca	104	104	23f29b4912716075d414ae96b3b301a4	2562http://jodi-arias.wikispaces.com/	2014-12-10	qlpatch	NJ	0
viveca	104	104	54c07715042c55f6b138dba876996efb	2564http://jodi-arias.wikispaces.com/	2014-12-10	qlpatch	NJ	2
viveca	104	104	7fda608a5d8793100e151fd451c860e8	2566http://jodi-arias.wikispaces.com/	2014-12-10	qlpatch	NJ	4
viveca	104	104	a0c84f62750146b47cb8bed4603d602e	2563http://jodi-arias.wikispaces.com/	2014-12-10	qlpatch	NJ	1
viveca	104	104	c09bf3bbe55bae594e64c339434815ff	2565http://jodi-arias.wikispaces.com/	2014-12-10	qlpatch	NJ	3
viveca	104	104	ca5a32f4c9811e121499a125751f07fa	2567http://jodi-arias.wikispaces.com/	2014-12-10	qlpatch	NJ	5
viveca	106	106	1938d294fe6eb631f360cb7bc48471d6	1214https://vendor.jcpenney.com/	2014-12-10	qlpatch	Definitely NO	0
viveca	109	109	103fa034beaac8192f6c016189eba183	1241http://in.gov/	2014-12-10	qlpatch	Uncertain	5
viveca	109	109	1dd8a192797479a3a8dc930e00dfcef6	1236http://in.gov/	2014-12-10	qlpatch	Uncertain	0
viveca	109	109	292628c75c9d9741aebff07e173646d8	1239http://in.gov/	2014-12-10	qlpatch	Definitely NO	3
viveca	109	109	7ac991d016a4a3febaecd89d11bf5178	1237http://in.gov/	2014-12-10	qlpatch	Definitely NO	1
viveca	109	109	c3db2d99a2efb218a0a00a9e0331127e	1238http://in.gov/	2014-12-10	qlpatch	Uncertain	2
viveca	109	109	cbce59a2c222e1bd64073c32c4f5d855	1240http://in.gov/	2014-12-10	qlpatch	Uncertain	4
viveca	114	114	d5493b9d7b75a7d309a6da5f83aad2ac	2584http://answers.webmd.com/	2014-12-10	qlpatch	Uncertain	1
viveca	114	114	e2cf52cafaa2c914a735604975364377	2583http://answers.webmd.com/	2014-12-10	qlpatch	Uncertain	0
viveca	119	119	4448c98d5a41648dda3eca4357e4ea20	1255http://youtube-music.blogspot.com/	2014-12-11	qlpatch	Uncertain	4
viveca	119	119	514a1e538d3eee3ddc92b0c5d2a326f0	1253http://youtube-music.blogspot.com/	2014-12-11	qlpatch	Uncertain	2
viveca	119	119	a8335d1e0b0b1a04cfdc94d81ea95ed4	1254http://youtube-music.blogspot.com/	2014-12-11	qlpatch	Definitely YES	3
viveca	119	119	a8ae4ff4d86aa2f06a9d23dd74322ecb	1257http://youtube-music.blogspot.com/	2014-12-11	qlpatch	Uncertain	6
viveca	119	119	d80e7a8068ea67103d6bea144d4320de	1256http://youtube-music.blogspot.com/	2014-12-11	qlpatch	Uncertain	5
viveca	119	119	e01b3f32e43c04d8a8d49d837303133d	1251http://youtube-music.blogspot.com/	2014-12-11	qlpatch	Definitely YES	0
viveca	119	119	fa8dea011ac0513497ec2aea9eacc286	1252http://youtube-music.blogspot.com/	2014-12-11	qlpatch	Uncertain	1
viveca	121	121	19191dec9a248fe85571d1c1273f2c8e	2603http://www.meet-me.com/	2014-12-11	qlpatch	Uncertain	1
viveca	121	121	900a7370405a142d930f18ec448d0fc6	2602http://www.meet-me.com/	2014-12-11	qlpatch	Uncertain	0
viveca	122	122	0c581337803927971a24d90052a45825	1265https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	7
viveca	122	122	17130520d36c4312caae7d8c2b722238	1262https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	4
viveca	122	122	1aabca330208665048b733a3a559b49b	1261https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	3
viveca	122	122	2864db351ab83706a7efee19fc333dda	1259https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	1
viveca	122	122	67871fad74c2d52469435d1e2fd84d07	1266https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	8
viveca	122	122	80a43d89f2593b61e987c0c06d434a28	1263https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	5
viveca	122	122	8ee45ca590b9ba930f0ee6ec72915a68	1264https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	6
viveca	122	122	9eed488e99cff31e3d2cab5a73322f79	1267https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	9
viveca	122	122	cbffa45c87cb64ef647bb32004b99659	1260https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	2
viveca	122	122	e6e0dbc74547abfe8943e8e3a80cb0cc	1258https://my.bestbuy.com/	2014-12-10	qlpatch	Uncertain	0
viveca	126	126	13000dfa174bbbdc06cb426c5e19f6ed	2621http://health.gov/	2014-12-10	qlpatch	Definitely NO	2
viveca	126	126	2fcabd5732ccbd614275c6e91403c418	2619http://health.gov/	2014-12-10	qlpatch	Definitely YES	0
viveca	126	126	45c3cbaf401708496de537ffafb3bf77	2623http://health.gov/	2014-12-10	qlpatch	Uncertain	4
viveca	126	126	53becdc8702c05624a9f22eb9ccf4379	2624http://health.gov/	2014-12-10	qlpatch	Definitely NO	5
viveca	126	126	678ecd8d17a6c2070625aed74747fda4	2626http://health.gov/	2014-12-10	qlpatch	Definitely NO	7
viveca	126	126	a2146da26eae173f89775350157f17aa	2625http://health.gov/	2014-12-10	qlpatch	Uncertain	6
viveca	126	126	bedb8d01254283202773f90cb3034357	2622http://health.gov/	2014-12-10	qlpatch	Definitely NO	3
viveca	126	126	e0d14861fdacdeebcdf06b7e28992a31	2627http://health.gov/	2014-12-10	qlpatch	Definitely YES	8
viveca	126	126	fc7a77910d0fc2979aa9ef287acebea6	2620http://health.gov/	2014-12-10	qlpatch	Uncertain	1
viveca	129	129	069303241053d48102d8af76ba713b7a	2638http://careers.dish.com/	2014-12-10	qlpatch	Uncertain	1
viveca	129	129	4dbae99af4f280e0826241abe7b450ca	2637http://careers.dish.com/	2014-12-10	qlpatch	Uncertain	0
viveca	129	129	57c0572a2bdb7aac6d488e64a9079fa0	2639http://careers.dish.com/	2014-12-10	qlpatch	Uncertain	2
viveca	129	129	97681f77feba53dbbff7835846f7a036	2642http://careers.dish.com/	2014-12-10	qlpatch	Uncertain	5
viveca	129	129	e16622dd0d8671fe0d6a70f36b5d194f	2641http://careers.dish.com/	2014-12-10	qlpatch	Uncertain	4
viveca	129	129	ff7c9e566eef3b87a5e4263000e4c592	2640http://careers.dish.com/	2014-12-10	qlpatch	Uncertain	3
viveca	130	130	1e9b306b1cab72ba8cbaece9c0d66fa3	2632http://www.yourdictionary.com/	2014-12-10	qlpatch	NJ	0
viveca	130	130	24716d53b55ea210d2ea1946ebf69f7f	2635http://www.yourdictionary.com/	2014-12-10	qlpatch	Definitely NO	3
viveca	130	130	4729930acd3eac1a045eb519f22cb598	2634http://www.yourdictionary.com/	2014-12-10	qlpatch	NJ	2
viveca	130	130	c2c13ae78fb77a781a932d004d087998	2633http://www.yourdictionary.com/	2014-12-10	qlpatch	Definitely NO	1
viveca	130	130	cda137964b3b994dff4ddbfaa3002a32	2636http://www.yourdictionary.com/	2014-12-10	qlpatch	Uncertain	4
viveca	134	134	364d8d45ed81c9bdc4b751e2fa030f67	1280https://www.spotify.com/	2014-12-10	qlpatch	NJ	5
viveca	134	134	3f234450f5f2bf2265eca2dd39ec1000	1275https://www.spotify.com/	2014-12-10	qlpatch	Definitely NO	0
viveca	134	134	45223341fa9cf133aafc83d5a89728f2	1276https://www.spotify.com/	2014-12-10	qlpatch	Uncertain	1
viveca	134	134	9eb74b2f17abf016a4c861d44ac682f5	1277https://www.spotify.com/	2014-12-10	qlpatch	Uncertain	2
viveca	134	134	c90e8156e44ac957567fa64744cfa21c	1279https://www.spotify.com/	2014-12-10	qlpatch	Uncertain	4
viveca	134	134	e45214e0c744e64b32d6e6a2abec38cf	1278https://www.spotify.com/	2014-12-10	qlpatch	Definitely YES	3
viveca	138	138	40036a98b1f549e730dd00ba5272354e	1308http://www.myfitnesspal.com/	2014-12-10	qlpatch	Definitely NO	2
viveca	138	138	8b8d4b98bd62e725c41242c8998fd4ab	1309http://www.myfitnesspal.com/	2014-12-10	qlpatch	Definitely NO	3
viveca	138	138	a017d74c3db746fb1efe4f8688b4d16c	1306http://www.myfitnesspal.com/	2014-12-10	qlpatch	Uncertain	0
viveca	138	138	f2eaa007b5f97c8b488b7fc8d89e0b82	1307http://www.myfitnesspal.com/	2014-12-10	qlpatch	Definitely NO	1
viveca	142	142	28eee299900e8ffcd7c362c6e02b8da7	1327http://www.siriusxm.com/	2014-12-10	qlpatch	Uncertain	5
viveca	142	142	2bb0ba119bb4b428a4fe054c6d668e20	1323http://www.siriusxm.com/	2014-12-10	qlpatch	Uncertain	1
viveca	142	142	6ef8942362686bf38c22214d73085c30	1329http://www.siriusxm.com/	2014-12-10	qlpatch	Definitely YES	7
viveca	142	142	739d9348839d20552ec84bfe11a4f7de	1322http://www.siriusxm.com/	2014-12-10	qlpatch	Uncertain	0
viveca	142	142	805904c950a82c59b1b9fb9bb195492c	1324http://www.siriusxm.com/	2014-12-10	qlpatch	Uncertain	2
viveca	142	142	af452c0db1d86996c9096df8e4063fca	1326http://www.siriusxm.com/	2014-12-10	qlpatch	Uncertain	4
