a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.titlequality	a.titlelowquality	a.linkquality	a.linklowquality	a.commentsnotes	a.rank	m._domain_url	m._ql_title	m._strangexml	m._unkvalue	m._ql_url	m._control
viveca	10	10	ef4983613b60c6a1e82e54bb9ba3ec55	864http://www.theblackkeys.com/	2015-03-05	quicklinksbeta	1		1			5	http://www.theblackkeys.com/	Tour	../v4.12.newdoms.0.03.150.1b.xml	1	http://theblackkeys.com/tour	864
viveca	10	10	f29abc6e8ee838f8faa31dcb104db70e	863http://www.theblackkeys.com/	2015-03-05	quicklinksbeta	4	Misspelled	4		Seed URL automatically redirects to the Turn Blue World Tour page.	4	http://www.theblackkeys.com/	Turnblue	../v4.12.newdoms.0.03.150.1b.xml	6	http://www.theblackkeys.com/turnblue	863
viveca	15	15	56db98f4baf5ad7c4f0208590131ba58	672http://www.hhgregg.com/	2015-03-05	quicklinksbeta	4	Other,Poor truncation	1		Tablets, Computers & Mobile	5	http://www.hhgregg.com/	Electronic Devices & ..	../v4.12.newdoms.0.03.150.1b.xml	4	http://hhgregg.com/computers-mobile	672
viveca	15	15	7d9d2e4b3c5f03d31cd1ce9da29ce836	668http://www.hhgregg.com/	2015-03-05	quicklinksbeta	1		4	Topic too specific	Too deep; Appliances &gt; Kitchen Appliances &gt; Refrigerators	1	http://www.hhgregg.com/	Refrigerators	../v4.12.newdoms.0.03.150.1b.xml	6	http://hhgregg.com/appliances-home/refrigerators	668
viveca	15	15	82d0685712c07392c853d836569a9822	671http://www.hhgregg.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific	Too deep; Appliances &gt; Kitchen	4	http://www.hhgregg.com/	Kitchen Appliances	../v4.12.newdoms.0.03.150.1b.xml	3	http://hhgregg.com/appliances-home/kitchenappliances	671
viveca	15	15	8e0adc05d340678f336449bede5b3564	670http://www.hhgregg.com/	2015-03-05	quicklinksbeta	1		1			3	http://www.hhgregg.com/	Appliances	../v4.12.newdoms.0.03.150.1b.xml	2	http://hhgregg.com/appliances-home	670
viveca	15	15	b1f1f8d703a8f53a7f6e87f214ac8920	669http://www.hhgregg.com/	2015-03-05	quicklinksbeta	1		2			2	http://www.hhgregg.com/	TV & Video	../v4.12.newdoms.0.03.150.1b.xml	1	http://hhgregg.com/tv-entertainment/tvs	669
viveca	15	15	fa6144b9bf80d776e77c903055163654	667http://www.hhgregg.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific	Too deep; Appliances &gt; Laundry	0	http://www.hhgregg.com/	Laundry	../v4.12.newdoms.0.03.150.1b.xml	5	http://www.hhgregg.com/appliances-home/laundry	667
viveca	16	16	250ad72fb713d620da5222eae4226a29	726http://www.t-mobile.com/	2015-03-05	quicklinksbeta	1		1			5	http://www.t-mobile.com/	Support	../v4.12.newdoms.0.03.150.1b.xml	5	http://support.t-mobile.com/	726
viveca	16	16	2d5f674d8618570ba63ce661c4f958f7	723http://www.t-mobile.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.t-mobile.com/	Contact Information	../v4.12.newdoms.0.03.150.1b.xml	3	http://www.t-mobile.com/contact-us.html	723
viveca	16	16	62f54130b54b83d8ebf70d584b52f0ae	722http://www.t-mobile.com/	2015-03-05	quicklinksbeta	1		1			1	http://www.t-mobile.com/	Store Locator	../v4.12.newdoms.0.03.150.1b.xml	4	http://www.t-mobile.com/store-locator.html	722
viveca	16	16	63c070fbcfa33319110def5bf3c5d09a	724http://www.t-mobile.com/	2015-03-05	quicklinksbeta	3	Too long	2			3	http://www.t-mobile.com/	Log in to My T-Mobile	../v4.12.newdoms.0.03.150.1b.xml	1	https://my.t-mobile.com	724
viveca	16	16	d2744163a178e3c5482e6d803af24176	725http://www.t-mobile.com/	2015-03-05	quicklinksbeta	1		2			4	http://www.t-mobile.com/	My T-Mobile	../v4.12.newdoms.0.03.150.1b.xml	6	http://locator.my.t-mobile.com/?account_type=pst	725
viveca	16	16	f0fe68c22dd2249bc0c11302cd9b3a5e	721http://www.t-mobile.com/	2015-03-05	quicklinksbeta	1		1			0	http://www.t-mobile.com/	Phones	../v4.12.newdoms.0.03.150.1b.xml	2	http://www.t-mobile.com/cell-phones.html	721
viveca	36	36	22374f67c7c47eade1cdf246ec6f18c6	6http://www.basspro.com/	2015-03-05	quicklinksbeta	1		1			5	http://www.basspro.com/	Stores	../v4.12.newdoms.0.03.150.1b.xml	5	http://basspro.com/webapp/wcs/stores/servlet/CFPageC?appID=94&amp;storeId=10151&amp;catalogId=10051	6
viveca	36	36	262da684fb51ee011956c428496e430b	1http://www.basspro.com/	2015-03-05	quicklinksbeta	1		1			0	http://www.basspro.com/	Fishing	../v4.12.newdoms.0.03.150.1b.xml	3	http://www.basspro.com/Fishing/_/T-12100000000	1
viveca	36	36	2690166bcbd658e838c38408c0925959	3http://www.basspro.com/	2015-03-05	quicklinksbeta	1		2			2	http://www.basspro.com/	Guns	../v4.12.newdoms.0.03.150.1b.xml	1	http://www.basspro.com/Guns/_/S-12400001000	3
viveca	36	36	28e71c79243a9e9b9870a96d45e1b273	2http://www.basspro.com/	2015-03-05	quicklinksbeta	1		1			1	http://www.basspro.com/	Boating	../v4.12.newdoms.0.03.150.1b.xml	4	http://www.basspro.com/Boating/_/T-12225000000	2
viveca	36	36	620f1a268a43a118eaab1d7515b20c85	5http://www.basspro.com/	2015-03-05	quicklinksbeta	5		5	404		4	http://www.basspro.com/	Shop Our Catalogs	../v4.12.newdoms.0.03.150.1b.xml	6	http://www.basspro.com/webapp/wcs/stores/servlet/CFPageC?storeId=10151&amp;catalogId=10051&amp;appID=163	5
viveca	36	36	6a4880e83948ada9669d23377d20f6c6	4http://www.basspro.com/	2015-03-05	quicklinksbeta	1		1			3	http://www.basspro.com/	Hunting	../v4.12.newdoms.0.03.150.1b.xml	2	http://www.basspro.com/Hunting/_/T-12425000000	4
viveca	47	47	1b05f9eb6f6152109db7941d25da95c1	267http://www.tube8.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.tube8.com/	Categories	../v4.12.newdoms.0.03.150.1b.xml	2	http://tube8.com/categories.html	267
viveca	47	47	2d1561fb8539fbc09708d7a8cf942cb0	269http://www.tube8.com/	2015-03-05	quicklinksbeta	1		2			4	http://www.tube8.com/	Teen	../v4.12.newdoms.0.03.150.1b.xml	3	http://tube8.com/cat/teen/3	269
viveca	47	47	c3d1dea0ab42421ea6968a4b5c20a3a4	270http://www.tube8.com/	2015-03-05	quicklinksbeta	1		2			5	http://www.tube8.com/	Amateur	../v4.12.newdoms.0.03.150.1b.xml	6	http://tube8.com/cat/amateur/6	270
viveca	47	47	df6202513d7a291449184a4c75c4fcad	268http://www.tube8.com/	2015-03-05	quicklinksbeta	1		2			3	http://www.tube8.com/	Mature	../v4.12.newdoms.0.03.150.1b.xml	5	http://tube8.com/cat/mature/2	268
viveca	47	47	e011a123fe22caf71c555624f22953f5	266http://www.tube8.com/	2015-03-05	quicklinksbeta	1		1			1	http://www.tube8.com/	Newest	../v4.12.newdoms.0.03.150.1b.xml	4	http://tube8.com/newest.html	266
viveca	47	47	fffa46ef694e0dde77364bc74a81b03c	265http://www.tube8.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific		0	http://www.tube8.com/	Asian	../v4.12.newdoms.0.03.150.1b.xml	1	http://tube8.com/cat/asian/12	265
viveca	55	55	0b8255bef6a4d68ffe0ff456f59b8b59	748http://www.porn.com/	2015-03-05	quicklinksbeta	1		2			3	http://www.porn.com/	Black	../v4.12.newdoms.0.03.150.1b.xml	4	http://porn.com/videos/black	748
viveca	55	55	38dc28068eeda4217c360df513eb5c8c	745http://www.porn.com/	2015-03-05	quicklinksbeta	1		2			0	http://www.porn.com/	Mature	../v4.12.newdoms.0.03.150.1b.xml	3	http://porn.com/videos/mature	745
viveca	55	55	7eee538828aad95b065a7393ed4b5c8a	750http://www.porn.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific		5	http://www.porn.com/	Babysitter	../v4.12.newdoms.0.03.150.1b.xml	5	http://porn.com/videos/babysitter	750
viveca	55	55	94592252377c2754c9a02511141587df	749http://www.porn.com/	2015-03-05	quicklinksbeta	1		1			4	http://www.porn.com/	Categories	../v4.12.newdoms.0.03.150.1b.xml	1	http://porn.com/categories	749
viveca	55	55	95aaad3500c457d9fd3a7f8504c52a66	747http://www.porn.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.porn.com/	Videos	../v4.12.newdoms.0.03.150.1b.xml	6	http://porn.com/videos	747
viveca	55	55	bcaeb1ed3aaa1a70991328aad066ca87	746http://www.porn.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific		1	http://www.porn.com/	Bang My Stepmom	../v4.12.newdoms.0.03.150.1b.xml	2	http://porn.com/channels/bang-my-stepmom	746
viveca	64	64	115c8e8f04217f68ea13e3e5b5dda8c6	637http://www.wsdot.wa.gov/	2015-03-05	quicklinksbeta	3	Other	2	Topic too specific	Seattle Traffic.	0	http://www.wsdot.wa.gov/	Seattle	../v4.12.newdoms.0.03.150.1b.xml	3	http://wsdot.wa.gov/traffic/seattle	637
viveca	64	64	24d53d8849d1f213116076608f709d6a	639http://www.wsdot.wa.gov/	2015-03-05	quicklinksbeta	4	Too long,Poor truncation	1		Travel Alerts	2	http://www.wsdot.wa.gov/	Washington State Travel ..	../v4.12.newdoms.0.03.150.1b.xml	4	http://wsdot.wa.gov/traffic/trafficalerts	639
viveca	64	64	3a9450356452510ee86b02dc10b89019	641http://www.wsdot.wa.gov/	2015-03-05	quicklinksbeta	4	Too long,Poor truncation	1		Traveler Information	4	http://www.wsdot.wa.gov/	Washington State Traveler ..	../v4.12.newdoms.0.03.150.1b.xml	2	http://wsdot.wa.gov/traffic	641
viveca	64	64	622d53bb2107345229c365b9b722fff7	640http://www.wsdot.wa.gov/	2015-03-05	quicklinksbeta	1		2			3	http://www.wsdot.wa.gov/	Mountain Passes	../v4.12.newdoms.0.03.150.1b.xml	1	http://wsdot.wa.gov/traffic/passes	640
viveca	64	64	6b20612c7143b213c3c471a48a5b0a40	638http://www.wsdot.wa.gov/	2015-03-05	quicklinksbeta	2		1		Good To Go!is the state tolling system. Great title for those who are familiar with it, but could be cryptic for newcomers. Something more descriptive (&quot;Toll Pass&quot;, or &quot;Good To Go! Pass&quot;) would be more helpful.	1	http://www.wsdot.wa.gov/	Good To Go!	../v4.12.newdoms.0.03.150.1b.xml	6	http://www.wsdot.wa.gov/goodtogo/	638
viveca	64	64	703d88d3038ac40b3a9ca1213c84ad43	642http://www.wsdot.wa.gov/	2015-03-05	quicklinksbeta	3	Too long	3	Topic too specific	Ferries	5	http://www.wsdot.wa.gov/	Washington State Ferries	../v4.12.newdoms.0.03.150.1b.xml	5	http://wsdot.wa.gov/ferries	642
viveca	75	75	022169dc54d1bda7105d0b7631269e65	978http://www.qvc.com/	2015-03-05	quicklinksbeta	1		1			5	http://www.qvc.com/	Clearance	../v4.12.newdoms.0.03.150.1b.xml	3	http://www.qvc.com/cgen/render.aspx?qp=class|3279	978
viveca	75	75	4e63275c39d3f290e87d0af7a81a9850	977http://www.qvc.com/	2015-03-05	quicklinksbeta	1		1			4	http://www.qvc.com/	Program Guide	../v4.12.newdoms.0.03.150.1b.xml	6	http://www.qvc.com/ProgramGuide/ProgramGuideDailyView.aspx	977
viveca	75	75	5e1f62a6789e3874fbc78fca7a5bd587	976http://www.qvc.com/	2015-03-05	quicklinksbeta	1		1			3	http://www.qvc.com/	Jewelry	../v4.12.newdoms.0.03.150.1b.xml	5	http://www.qvc.com/cgen/render.aspx?qp=class|1001	976
viveca	75	75	993115852636c49ff4aefd047f1e0f18	975http://www.qvc.com/	2015-03-05	quicklinksbeta	2		1			2	http://www.qvc.com/	Recently On Air	../v4.12.newdoms.0.03.150.1b.xml	1	http://www.qvc.com/OnAir/RecentShows.aspx	975
viveca	75	75	a6416700ae08fb8fd9d02ce5672555b2	974http://www.qvc.com/	2015-03-05	quicklinksbeta	1		1			1	http://www.qvc.com/	Fashion	../v4.12.newdoms.0.03.150.1b.xml	4	http://www.qvc.com/cgen/render.aspx?qp=class|0100	974
viveca	75	75	cd7a913a75f22c47d7bf8f667dc3acf5	973http://www.qvc.com/	2015-03-05	quicklinksbeta	2		4	Time-sensitive	Item only available for a short time. Possibly also to deep; looks like it&#39;s page that comes up after clicking on a product.	0	http://www.qvc.com/	Item On Air	../v4.12.newdoms.0.03.150.1b.xml	2	http://www.qvc.com/qic/qvcapp.aspx/app.detail/params.item.onair.tpl.onair	973
viveca	84	84	1a911142de6d5b83571a41768bc08c9c	1128http://www.wibw.com/	2015-03-05	quicklinksbeta	1		1			5	http://www.wibw.com/	Sports	../v4.12.newdoms.0.03.150.1b.xml	3	http://wibw.com/sports	1128
viveca	84	84	38a7c8be1a0585b08fd6112f7221f3c0	1124http://www.wibw.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific		1	http://www.wibw.com/	Recipes	../v4.12.newdoms.0.03.150.1b.xml	4	http://wibw.com/recipes	1124
viveca	84	84	3ca717a9c157edbc4d84b19946bd3aa1	1127http://www.wibw.com/	2015-03-05	quicklinksbeta	3		4	Topic too specific	More Headlines (pg. two of Headlines.)	4	http://www.wibw.com/	Headlines List	../v4.12.newdoms.0.03.150.1b.xml	5	http://www.wibw.com/home/headlines/	1127
viveca	84	84	5dcf5f02878a236d05b8091f7d7d7242	1125http://www.wibw.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.wibw.com/	Weather	../v4.12.newdoms.0.03.150.1b.xml	2	http://wibw.com/weather	1125
viveca	84	84	9251724528459fd8c9db1b92ea2b0c15	1126http://www.wibw.com/	2015-03-05	quicklinksbeta	3		2		Local News (there are sections for national and world news).	3	http://www.wibw.com/	News	../v4.12.newdoms.0.03.150.1b.xml	1	http://wibw.com/home/localnews	1126
viveca	84	84	cff084554c7fea1d9d28352b61ad2749	1123http://www.wibw.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific	Too deep; Weather &gt; Interactive Radar.	0	http://www.wibw.com/	Interactive Radar	../v4.12.newdoms.0.03.150.1b.xml	6	http://www.wibw.com/weather/interactiveradar	1123
viveca	94	94	193aab1ea5cdde6ba0805fe290b7e4dd	210http://www.youngpornvideos.com/	2015-03-05	quicklinksbeta	1		4	Topic too specific		5	http://www.youngpornvideos.com/	Tight Skinny Teen	../v4.12.newdoms.0.03.150.1b.xml	3	http://youngpornvideos.com/galleries/0733/39157/tight-skinny-teen.php	210
viveca	94	94	4b3f091d82d435f9bf7ca0e524b28f83	206http://www.youngpornvideos.com/	2015-03-05	quicklinksbeta	1		1			1	http://www.youngpornvideos.com/	Teen Girls	../v4.12.newdoms.0.03.150.1b.xml	6	http://youngpornvideos.com/teengirls.html	206
viveca	94	94	a84ed5d367eb2996d72786b69e0e5f88	207http://www.youngpornvideos.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.youngpornvideos.com/	Categories	../v4.12.newdoms.0.03.150.1b.xml	2	http://youngpornvideos.com/categories.html	207
viveca	94	94	bab6bb8f2a62d67a4ca10945c80307b2	209http://www.youngpornvideos.com/	2015-03-05	quicklinksbeta	4	Poor truncation	4	Topic too specific	Teen Virgin Getting Fucked	4	http://www.youngpornvideos.com/	Teen Virgin Getting ..	../v4.12.newdoms.0.03.150.1b.xml	1	http://youngpornvideos.com/galleries/0600/34558/teen-virgin-getting-fucked.php	209
viveca	94	94	d584a74eb2c33a28703506015a549cb3	205http://www.youngpornvideos.com/	2015-03-05	quicklinksbeta	1		1			0	http://www.youngpornvideos.com/	Newest	../v4.12.newdoms.0.03.150.1b.xml	4	http://youngpornvideos.com/categories/tube/all_porn-1111000.php	205
viveca	94	94	ebf390b37e8f3525e237c9427e7d547f	208http://www.youngpornvideos.com/	2015-03-05	quicklinksbeta	3	Bad capitalization	4	Topic too specific	Sexy and Pretty Teenie	3	http://www.youngpornvideos.com/	Sexy And Pretty Teenie	../v4.12.newdoms.0.03.150.1b.xml	5	http://youngpornvideos.com/galleries/0092/34092/sexy-and-pretty-teenie.php	208
viveca	109	109	204f6f02bf7a784de40921dc8c85127f	178http://www.myex.com/	2015-03-05	quicklinksbeta	1		2			3	http://www.myex.com/	Sex Tapes	../v4.12.newdoms.0.03.150.1b.xml	2	http://myex.com/sex-tapes	178
viveca	109	109	5941a46b776b529c39e78f865f66633f	176http://www.myex.com/	2015-03-05	quicklinksbeta	1		1			1	http://www.myex.com/	Celebrities	../v4.12.newdoms.0.03.150.1b.xml	4	http://www.myex.com/celebrities/	176
viveca	109	109	648c32d043be1e5264c53edf1a373418	179http://www.myex.com/	2015-03-05	quicklinksbeta	1		1			4	http://www.myex.com/	Just Girls	../v4.12.newdoms.0.03.150.1b.xml	1	http://myex.com/justgirls	179
viveca	109	109	71c1a5b56d3814ba36a7aaa386e0bb83	180http://www.myex.com/	2015-03-05	quicklinksbeta	4	Irrelevant	2		Find Someone You Know	5	http://www.myex.com/	Cincinnati Hills ..	../v4.12.newdoms.0.03.150.1b.xml	6	http://myex.com/ohio/cincinnati/jaime-baker-climie/9172/	180
viveca	109	109	b1ac3495c6ee19b6267ca1c154383d5b	177http://www.myex.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.myex.com/	Just Guys	../v4.12.newdoms.0.03.150.1b.xml	3	http://www.myex.com/justguys/	177
viveca	109	109	e7850b8594d0d9991b01454360233c5f	175http://www.myex.com/	2015-03-05	quicklinksbeta	3	Too long	1		Submit Your Ex	0	http://www.myex.com/	Submit Pics And Stories ..	../v4.12.newdoms.0.03.150.1b.xml	5	http://www.myex.com/add-your-ex/	175
viveca	115	115	00b9347953ff1bda162681a80b01bb75	460http://www.slacker.com/	2015-03-05	quicklinksbeta	1		2			3	http://www.slacker.com/	Account	../v4.12.newdoms.0.03.150.1b.xml	6	https://support.slacker.com/categories/20069238-account	460
viveca	115	115	44194c4d655ae0eb7fac9983448a03a8	462http://www.slacker.com/	2015-03-05	quicklinksbeta	1		4	Topic too specific	No sense in have a link other than to AOL Radio home pape.	5	http://www.slacker.com/	ABC News	../v4.12.newdoms.0.03.150.1b.xml	4	http://aolradio.slacker.com/station/abc-news	462
viveca	115	115	657371795d13e20418fd6cd80828a5f7	457http://www.slacker.com/	2015-03-05	quicklinksbeta	1		2			0	http://www.slacker.com/	Support	../v4.12.newdoms.0.03.150.1b.xml	2	https://support.slacker.com/home	457
viveca	115	115	6e22bea6bf862a5e713898d13f34c3b7	458http://www.slacker.com/	2015-03-05	quicklinksbeta	1		2			1	http://www.slacker.com/	AOL Radio	../v4.12.newdoms.0.03.150.1b.xml	3	http://aolradio.slacker.com/?icid=navbar_Music	458
viveca	115	115	84f77e572850d3c75e256b141a8b35b3	461http://www.slacker.com/	2015-03-05	quicklinksbeta	4	Irrelevant	4	Topic too specific	Stations (AOL Station List). No sense in have a link other than to AOL Radio home pape.	4	http://www.slacker.com/	Free Internet Radio ..	../v4.12.newdoms.0.03.150.1b.xml	5	http://aolradio.slacker.com/station/stationList	461
viveca	115	115	e3c1363516f6b658ea211616b6ff1099	459http://www.slacker.com/	2015-03-05	quicklinksbeta	4	Irrelevant	1		Stations	2	http://www.slacker.com/	Or Browse Our DJ Created ..	../v4.12.newdoms.0.03.150.1b.xml	1	http://slacker.com/station/stationList	459
viveca	118	118	2e925278a919fadf5293d269a05ffed8	517http://www.immaculata.edu/	2015-03-05	quicklinksbeta	5		5		&quot;Access Denied&quot;. Can&#39;t determine if this is a page that is no longer in use (don&#39;t see it anywhere on the site), or if it&#39;s accessible to certain people.	0	http://www.immaculata.edu/	Admission & Aid	../v4.12.newdoms.0.03.150.1b.xml	4	http://www.immaculata.edu/admissionandaid	517
viveca	118	118	416e54943019ff080bbc8ba9a1fdee57	520http://www.immaculata.edu/	2015-03-05	quicklinksbeta	3	Other	2		MyIU (as spelled on site) or Log In	3	http://www.immaculata.edu/	Myiu	../v4.12.newdoms.0.03.150.1b.xml	1	http://myiu.immaculata.edu/cp/home/displaylogin	520
viveca	118	118	6aac0694f7c00499070d4b19549f5bec	521http://www.immaculata.edu/	2015-03-05	quicklinksbeta	3	Other	3		Better: Financial Aid. Too deep; Prospective Students &gt; Financial Aid	4	http://www.immaculata.edu/	Admissions & Aid	../v4.12.newdoms.0.03.150.1b.xml	3	http://www.immaculata.edu/FinAid	521
viveca	118	118	743f4a8ac8c50de3f9197de886ab3a35	522http://www.immaculata.edu/	2015-03-05	quicklinksbeta	1		3	Topic too specific	Not on top of the list of useful quick links.	5	http://www.immaculata.edu/	Directions	../v4.12.newdoms.0.03.150.1b.xml	6	http://www.immaculata.edu/MapandDirections	522
viveca	118	118	dc286d1bc4d2a650a9817421f85c1ddb	518http://www.immaculata.edu/	2015-03-05	quicklinksbeta	1		1	Topic too specific		1	http://www.immaculata.edu/	Academics	../v4.12.newdoms.0.03.150.1b.xml	2	http://www.immaculata.edu/academics	518
viveca	118	118	e9f7f98a79a94e333797360630548e48	519http://www.immaculata.edu/	2015-03-05	quicklinksbeta	4	Irrelevant	4		Jobs. Far down on the list of what someone would likely be looking for.	2	http://www.immaculata.edu/	University	../v4.12.newdoms.0.03.150.1b.xml	5	http://www.immaculata.edu/jobs	519
viveca	119	119	0d1161f6efd97fd5083a88fa17b8fa63	594http://www.westmarine.com/	2015-03-05	quicklinksbeta	3	Too long	3	Low quality		5	http://www.westmarine.com/	Shop our Catalogs	../v4.12.newdoms.0.03.150.1b.xml	4	http://catalogs.westmarine.com/	594
viveca	119	119	4bddd617f0e420127b71a8f5032ee903	593http://www.westmarine.com/	2015-03-05	quicklinksbeta	1		4	Low quality		4	http://www.westmarine.com/	Site Map	../v4.12.newdoms.0.03.150.1b.xml	1	http://westmarine.com/CustomerService/Site-Map?&amp;icid=HD_ShopCat_watersports	593
viveca	119	119	635043756ff55bb861364cdf2f909ae0	592http://www.westmarine.com/	2015-03-05	quicklinksbeta	1		1			3	http://www.westmarine.com/	Store Finder	../v4.12.newdoms.0.03.150.1b.xml	2	http://westmarine.com/store-finder	592
viveca	119	119	7c2a0fbc08c29751382e6c95c104b0d9	590http://www.westmarine.com/	2015-03-05	quicklinksbeta	4	Too long	4		Home page (i.e. same as seed URL). Title includes tag line.	1	http://www.westmarine.com/	West Marine - For your life on the water	../v4.12.newdoms.0.03.150.1b.xml	6	http://www.westmarine.com/webapp/wcs/stores/servlet/TopCategories1_11151_10001_-1	590
viveca	119	119	825c143d626d209fb6ced69402afa879	589http://www.westmarine.com/	2015-03-05	quicklinksbeta	4	Irrelevant	1		Store Locator	0	http://www.westmarine.com/	West Marine	../v4.12.newdoms.0.03.150.1b.xml	3	http://www.westmarine.com/webapp/wcs/stores/servlet/AjaxStoreLocatorDisplayView?langId=-1&amp;storeId=11151	589
viveca	119	119	efebe15a39447bd0b7d0fa15cfdf2d1c	591http://www.westmarine.com/	2015-03-05	quicklinksbeta	3	Garbage characters,Too long	4	Topic too specific	Title followed by&quot; &gt;&quot;.	2	http://www.westmarine.com/	Boat Paint >	../v4.12.newdoms.0.03.150.1b.xml	5	http://www.westmarine.com/boat-paint	591
viveca	122	122	138170942c7532a5e6c52336ff77c2b7	1009http://www.pornhub.com/	2015-03-05	quicklinksbeta	1		1			0	http://www.pornhub.com/	Most Viewed	../v4.12.newdoms.0.03.150.1b.xml	5	http://www.pornhub.com/video?o=mv	1009
viveca	122	122	27f66e8d3524faf4517a44163276a830	1011http://www.pornhub.com/	2015-03-05	quicklinksbeta	1		1			2	http://www.pornhub.com/	Categories	../v4.12.newdoms.0.03.150.1b.xml	1	http://pornhub.com/categories	1011
viveca	122	122	439de9695410ae7ccc757f390ae835df	1014http://www.pornhub.com/	2015-03-05	quicklinksbeta	1		1			5	http://www.pornhub.com/	Lesbian	../v4.12.newdoms.0.03.150.1b.xml	3	http://www.pornhub.com/video?c=27	1014
viveca	122	122	ce0d7e924e1f47965e8c201e170beb92	1013http://www.pornhub.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific		4	http://www.pornhub.com/	Most Recent Videos	../v4.12.newdoms.0.03.150.1b.xml	4	http://pornhub.com/video?page=2	1013
viveca	122	122	d3acc2e7f6d566dfe5a7fffd64cd89f4	1010http://www.pornhub.com/	2015-03-05	quicklinksbeta	1		2			1	http://www.pornhub.com/	Teens	../v4.12.newdoms.0.03.150.1b.xml	6	http://pornhub.com/categories/teen	1010
viveca	122	122	e6ec9f5171e8338efc6b31ce94ceb471	1012http://www.pornhub.com/	2015-03-05	quicklinksbeta	1		3	Topic too specific		3	http://www.pornhub.com/	Japanese	../v4.12.newdoms.0.03.150.1b.xml	2	http://www.pornhub.com/video?c=111	1012
