m._domain_url	m._ql_url	m._ql_title	a.linkquality	a.linklowquality	a.titlequality	a.titlerewritten	a.qlreplacements
http://www.employment.oregon.gov/	http://cms.oregon.gov/EMPLOY/ES/SEEKER/Pages/index.aspx	<b>Employment </b>Service	NJ	404	NJ		http://www.oregon.gov/EMPLOY/jobseekers/Pages/Find-a-Job.aspx, http://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx, http://www.oregon.gov/EMPLOY/jobseekers/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Businesses/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Pages/Forms.aspx, http://www.oregon.gov/EMPLOY/Agency/Pages/default.aspx
http://www.employment.oregon.gov/	http://cms.oregon.gov/EMPLOY/UI/Pages/index.aspx	Insurance (UI)	NJ	404	NJ		http://www.oregon.gov/EMPLOY/jobseekers/Pages/Find-a-Job.aspx, http://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx, http://www.oregon.gov/EMPLOY/jobseekers/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Businesses/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Pages/Forms.aspx, http://www.oregon.gov/EMPLOY/Agency/Pages/default.aspx
http://www.employment.oregon.gov/	http://cms.oregon.gov/EMPLOY/pages/department_jobs_page.aspx	Working for The	NJ	404	Bad		http://www.oregon.gov/EMPLOY/jobseekers/Pages/Find-a-Job.aspx, http://www.oregon.gov/EMPLOY/Unemployment/Pages/default.aspx, http://www.oregon.gov/EMPLOY/jobseekers/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Businesses/Pages/default.aspx, http://www.oregon.gov/EMPLOY/Pages/Forms.aspx, http://www.oregon.gov/EMPLOY/Agency/Pages/default.aspx
http://www.bubblegame.org/	http://www.bubblegame.org/play-bubbletrouble.php	Play <b>Bubble </b>Trouble	Probably likely		Fair	Bubble Trouble	titles should all be &quot;Play [game title]&quot; or just &quot;[game title]&quot; for consistency, but the labeling is inconsistent on the site itself
http://www.bubblegame.org/	http://www.bubblegame.org/bubble-spinner.php	<b>Bubble </b>Spinner	Probably likely		Good		titles should all be &quot;Play [game title]&quot; or just &quot;[game title]&quot; for consistency, but the labeling is inconsistent on the site itself
http://www.bubblegame.org/	http://www.bubblegame.org/bubble-breaker.php	Bubble Breaker	Probably likely		Good		titles should all be &quot;Play [game title]&quot; or just &quot;[game title]&quot; for consistency, but the labeling is inconsistent on the site itself
http://www.bubblegame.org/	http://www.bubblegame.org/toy-factory.php	Magic Toy Factory	Probably likely		Good		titles should all be &quot;Play [game title]&quot; or just &quot;[game title]&quot; for consistency, but the labeling is inconsistent on the site itself
http://www.bubblegame.org/	http://www.bubblegame.org/play-bubbels.php	Play Bubbels	Probably likely		Fair	Bubbels	titles should all be &quot;Play [game title]&quot; or just &quot;[game title]&quot; for consistency, but the labeling is inconsistent on the site itself
http://www.bubblegame.org/	http://www.bubblegame.org/play-bubblebobble.php	Play Bubble Bobble	Probably likely		Fair	Bubble Bobble	titles should all be &quot;Play [game title]&quot; or just &quot;[game title]&quot; for consistency, but the labeling is inconsistent on the site itself
http://88sears.com/	http://www.88sears.com/login	<b>Login</b>	Probably likely		Excellent		
http://88sears.com/	http://www.88sears.com/benefits/topics/401k.htm	Pension	NJ	404	NJ		
http://88sears.com/	http://www.88sears.com/talentacquisition/resources/job_posting/index.htm	Internal Talent Gateway	NJ	404	NJ		
http://88sears.com/	http://88sears.com/benefits/discount.policy.htm	Associate Discount Policy	NJ	404	NJ		
http://88sears.com/	http://88sears.com/compliance/employment/posters.htm	Compliance - Who We Are	NJ	Other	NJ		
http://88sears.com/	http://88sears.com/MyHRHomePage(88Sears)/401(k)SavingsPlanInformationandNotices/tabid/393/Default.aspx	401(k) Savings Plan Information And Notices	Probably likely		Fair	401(k) Info	
http://www.dollargeneral.com/home/index.jsp	http://www.dollargeneral.com/category/index.jsp?categoryId=11640641	<b>Household</b>	Probably likely		Good		
http://www.dollargeneral.com/home/index.jsp	http://www.dollargeneral.com/storeLocator/index.jsp	Store Locator	Probably likely		Excellent		
http://www.dollargeneral.com/home/index.jsp	http://www2.dollargeneral.com/Ads-and-Promos/Coupons/pages/Index.aspx	<b>Coupons</b>	Very likely		Excellent		
http://www.dollargeneral.com/home/index.jsp	http://www.dollargeneral.com/family/index.jsp?categoryId=12669500	On Sale <b>Online</b>	Probably likely		Good		
http://www.dollargeneral.com/home/index.jsp	http://www.dollargeneral.com/category/index.jsp?categoryId=11640646	Toys	Probably likely		Excellent		
http://www.dollargeneral.com/home/index.jsp	http://www.dollargeneral.com/Employees	Employees	NJ	Other	NJ		
http://www.revelresorts.com/	http://www.revelresorts.com/resort/images/images/images/images/index.html	Rooms	NJ	404	NJ		seed url also a 404
http://www.revelresorts.com/	http://www.revelresorts.com/entertainment	Entertainment	NJ	404	NJ		seed url also a 404
http://www.revelresorts.com/	http://www.revelresorts.com/gaming/images/images/images/images/index.html	<b>Casino</b>	NJ	404	NJ		seed url also a 404
http://www.revelresorts.com/	http://www.revelresorts.com/resort	Resort	NJ	404	NJ		seed url also a 404
http://www.revelresorts.com/	http://www.revelresorts.com/about/images/images/images/images/index.html	Careers	NJ	404	NJ		seed url also a 404
http://www.revelresorts.com/	http://www.revelresorts.com/dining	Dining	NJ	404	NJ		seed url also a 404
http://www.cityofchicago.org/city/en.html	http://www.cityofchicago.org/city/en/progs/emp.html	Jobs	Probably likely		Excellent		
http://www.cityofchicago.org/city/en.html	http://www.cityofchicago.org/city/en/chicagogovt.html	Chicago Government	Probably not likely	Other	Good		
http://www.cityofchicago.org/city/en.html	http://www.cityofchicago.org/city/en/depts.html	Departments	Probably likely		Excellent		
http://www.cityofchicago.org/city/en.html	http://www.cityofchicago.org/city/en/depts/dhr/provdrs/emp.html	Employment Services	Probably likely		Good		
http://www.cityofchicago.org/city/en.html	http://www.cityofchicago.org/city/en/svcs/iwantto.pay_for_buy.html	Pay For/Buy	Probably likely		Good		
http://www.cityofchicago.org/city/en.html	http://www.cityofchicago.org/city/en/svcs/find.html	<b>City </b>Services	Probably likely		Good		
http://nysdoccslookup.doccs.ny.gov/	http://www.doccs.ny.gov/faclist.html	Find a <b>Facility</b>	Probably likely		Excellent		http://www.doccs.ny.gov/FamilyGuide/FamilyHandbook.html, http://www.doccs.ny.gov/Visitation/index.html
http://nysdoccslookup.doccs.ny.gov/	http://www.criminaljustice.ny.gov/crimnet/inmate_lookup.htm	Inmate Lookup	Definitely not likely	Other	Good		http://www.doccs.ny.gov/FamilyGuide/FamilyHandbook.html, http://www.doccs.ny.gov/Visitation/index.html
http://nysdoccslookup.doccs.ny.gov/	http://www.doccs.ny.gov/inmateinfo.html	<b>Inmate Info</b>	Probably likely		Good		http://www.doccs.ny.gov/FamilyGuide/FamilyHandbook.html, http://www.doccs.ny.gov/Visitation/index.html
http://nysdoccslookup.doccs.ny.gov/	http://www.doccs.ny.gov/	<b>DOCCS</b>	Probably likely		Fair	About DOCCS	http://www.doccs.ny.gov/FamilyGuide/FamilyHandbook.html, http://www.doccs.ny.gov/Visitation/index.html
http://nysdoccslookup.doccs.ny.gov/	https://www.parole.ny.gov/lookup.html	Parolee Lookup	Probably likely		Excellent		http://www.doccs.ny.gov/FamilyGuide/FamilyHandbook.html, http://www.doccs.ny.gov/Visitation/index.html
http://nysdoccslookup.doccs.ny.gov/	http://www.scoc.ny.gov/inmatelocator.html	Inmate <b>Locator</b>	Definitely not likely	Other	Good		http://www.doccs.ny.gov/FamilyGuide/FamilyHandbook.html, http://www.doccs.ny.gov/Visitation/index.html
http://www.1067litefm.com/main.html	http://www.1067litefm.com/pages/onair/	On Air	Probably likely		Good		links 1 & 2 seem to be the same thing / alternate: http://rewards.1067litefm.com/asp2/contests.aspx
http://www.1067litefm.com/main.html	http://www.1067litefm.com/cc-common/radio_app/	Listen <b>Online</b>	Definitely not likely	Other	Good		links 1 & 2 seem to be the same thing / alternate: http://rewards.1067litefm.com/asp2/contests.aspx
http://www.1067litefm.com/main.html	http://rewards.1067litefm.com/	Rewards	Probably likely		Good		links 1 & 2 seem to be the same thing / alternate: http://rewards.1067litefm.com/asp2/contests.aspx
http://www.1067litefm.com/main.html	http://www.1067litefm.com/go/radio_app/	Listen Live	Probably likely		Good		links 1 & 2 seem to be the same thing / alternate: http://rewards.1067litefm.com/asp2/contests.aspx
http://www.1067litefm.com/main.html	http://www.1067litefm.com/music/playlist/	See Full Playlist	Probably likely		Fair	Playlist	links 1 & 2 seem to be the same thing / alternate: http://rewards.1067litefm.com/asp2/contests.aspx
http://www.1067litefm.com/main.html	http://www.1067litefm.com/pages/onair/bronson-christine/	Morning Show	Probably likely		Good		links 1 & 2 seem to be the same thing / alternate: http://rewards.1067litefm.com/asp2/contests.aspx
https://www.zynga.com/	https://zynga.com/games/castleville	CastleVille	Probably likely		Excellent		
https://www.zynga.com/	https://zynga.com/games	<b>Games</b>	Probably likely		Excellent		
https://www.zynga.com/	http://company.zynga.com/about/contact.php	Contact Us	NJ	404	NJ		
https://www.zynga.com/	https://support.zynga.com/	<b>Zynga </b>Support	Probably not likely		Fair	Support	
https://www.zynga.com/	https://zynga.com/games/farmville-2	<b>Farmville 2</b>	Probably likely		Fair	FarmVille 2	
https://www.zynga.com/	https://zynga.com/games/cityville	CityVille	Probably likely		Excellent		
http://dexknows.whitepages.com/	http://dexknows.whitepages.com/reverse_phone	Reverse Lookup	Probably likely		Good		http://dexknows.whitepages.com/person, http://www.dexknows.com/
http://dexknows.whitepages.com/	http://dexknows.whitepages.com/dir/a-z/a-z/a-z	<b>Free </b>People Search	Definitely not likely	Other	Fair	Search Error	http://dexknows.whitepages.com/person, http://www.dexknows.com/
http://dexknows.whitepages.com/	http://www.whitepages.com/phone/	Phone Number Browsing	Probably not likely		Good		http://dexknows.whitepages.com/person, http://www.dexknows.com/
http://dexknows.whitepages.com/	http://dexknows.whitepages.com/name/Voronoff	dexknows	Definitely not likely	Topic too specific	Bad	Search Results for Voronoff	http://dexknows.whitepages.com/person, http://www.dexknows.com/
http://dexknows.whitepages.com/	http://www.whitepages.com/	MSN	Probably likely		Bad	Whitepages	http://dexknows.whitepages.com/person, http://www.dexknows.com/
http://dexknows.whitepages.com/	http://dexknows.whitepages.com/area_zip_codes	Area & Zip Codes	Probably likely		Fair	Area & ZIP Codes Search	http://dexknows.whitepages.com/person, http://www.dexknows.com/
http://www.kenoshanews.com/home/	http://jobs.kenoshanews.com/	Jobs	Probably likely		Excellent		
http://www.kenoshanews.com/home/	http://www.kenoshanews.com/classifieds/index.php?section=6	Rentals	Probably likely		Good		
http://www.kenoshanews.com/home/	http://www.kenoshanews.com/classifieds/	Classifieds	Probably likely		Excellent		
http://www.kenoshanews.com/home/	http://www.kenoshanews.com/newsnow/	NewsNow	Probably likely		Good		
http://www.kenoshanews.com/home/	http://www.kenoshanews.com/sports/	Sports	Probably likely		Excellent		
http://www.kenoshanews.com/home/	http://www.kenoshanews.com/news/	News	Probably likely		Excellent		
https://m.zionsbank.com/	https://www.zionsbank.com/contact_us.jsp	Contact Us	Probably likely		Excellent		
https://m.zionsbank.com/	https://www.zionsbank.com/personal/online-banking.jsp	<b>Online Banking</b>	Probably likely		Excellent		
https://m.zionsbank.com/	https://www.zionsbank.com/business/business-landing.jsp	Business	Probably likely		Good		
https://m.zionsbank.com/	http://www.zionsbank.com/personal_checking.jsp	Checking	NJ	404	NJ		
https://m.zionsbank.com/	https://www.zionsbank.com/personal/personal-banking-landing.jsp	Personal	Very likely		Good		
https://m.zionsbank.com/	https://www.zionsbank.com/hr/index.jsp	Careers	Probably not likely	Topic too specific	Excellent		
http://www.illinois.gov/	http://tax.illinois.gov/	Taxes	Probably likely		Good		
http://www.illinois.gov/	http://www2.illinois.gov/Pages/Agencies.aspx	Agencies	Probably likely		Fair	State Agencies	
http://www.illinois.gov/	http://www2.illinois.gov/cms/Pages/default.aspx	CMS : Home	Probably not likely	Other	Fair	Central Management Services	
http://www.illinois.gov/	http://www2.illinois.gov/Pages/OnlineServices.aspx	Online Services	Probably likely		Excellent		
http://www.illinois.gov/	http://www.illinois.gov/employment/Pages/default.aspx	Employment: Employment	Probably likely		Fair	Employment	
http://www.illinois.gov/	http://www.illinois.gov/Pages/Forms.aspx	Forms	Probably likely		Excellent		
http://www.gotinder.com/	http://www.gotinder.com/faq	FAQ	Probably likely		Excellent		http://www.gotinder.com/jobs
http://www.gotinder.com/	http://www.gotinder.com/index.html	<b>Tinder</b>	Definitely not likely	Other	Good		http://www.gotinder.com/jobs
http://www.gotinder.com/	http://www.gotinder.com/contact	Contact	Probably likely		Good		http://www.gotinder.com/jobs
http://www.gotinder.com/	http://www.gotinder.com/about	About	NJ	Other	NJ		http://www.gotinder.com/jobs
http://www.gotinder.com/	http://www.gotinder.com/blog/	Photos from the blog	Probably likely		Fair	Blog	http://www.gotinder.com/jobs
http://www.gotinder.com/	http://www.gotinder.com/download	Download The <b>App</b>	Probably likely		Good		http://www.gotinder.com/jobs
https://picasa.google.com/	https://support.google.com/picasa/answer/157000?hl=en	Getting Started Guide	Probably likely		Good		https://support.google.com/picasa/answer/156341?hl=en
https://picasa.google.com/	http://picasaweb.google.com/lh/explore	<b>Web </b>Albums - Explore	Probably likely		Fair	Explore Web Albums	https://support.google.com/picasa/answer/156341?hl=en
https://picasa.google.com/	https://support.google.com/picasa/?hl=en	<b>Picasa Help</b>	Probably likely		Fair	Help	https://support.google.com/picasa/answer/156341?hl=en
https://picasa.google.com/	http://picasaweb.google.com/	<b>Picasa Web Albums</b>	Probably likely		Good		https://support.google.com/picasa/answer/156341?hl=en
https://picasa.google.com/	http://picasaweb.google.com/rdrajpalschool	Photo Gallery	Definitely not likely	Topic too specific	Fair	RD RAJPAL Photos	https://support.google.com/picasa/answer/156341?hl=en
https://picasa.google.com/	http://picasa.google.com/intl/fr/	Télécharger	NJ		NJ		https://support.google.com/picasa/answer/156341?hl=en
http://webmail.peoplepc.com/	https://webmail.c.peoplepc.com/	Web Mail	Probably not likely	Other	Good		
http://webmail.peoplepc.com/	http://psc.peoplepc.com/contact/phone.php	Contact Us by Phone	Probably not likely	Topic too specific	Good		
http://webmail.peoplepc.com/	http://home.peoplepc.com/	My Homepage	Probably likely		Fair	Homepage	
http://webmail.peoplepc.com/	http://home.peoplepc.com/signin	<b>Sign In</b>	Probably likely		Excellent		
http://webmail.peoplepc.com/	http://webmailhelp.peoplepc.com/webmail/help/peoplepc/en_US/wam6.0/peoplepc/whskin_frmset01.htm	WebHelp Navigation Mini	NJ		NJ		
http://webmail.peoplepc.com/	http://support.peoplepc.com/	Support	Probably not likely	Topic too specific	Good		
http://www.ravemotionpictures.com/	http://ravemotionpictures.com/movies.aspx	<b>Movies</b>	Probably likely		Excellent		
http://www.ravemotionpictures.com/	http://ravemotionpictures.com/home.aspx	<b>Showtimes </b>And Tickets	Probably not likely	Other	Good		
http://www.ravemotionpictures.com/	http://www.ravemotionpictures.com/employment.aspx	Employment	Probably not likely	Other	Good		
http://www.ravemotionpictures.com/	http://ravemotionpictures.com/theatres.aspx	Theatres	Probably not likely	Low quality	Good		
http://www.ravemotionpictures.com/	http://ravemotionpictures.com/bday-parties.aspx	Birthday Parties	Probably not likely	Other	Good		
http://www.ravemotionpictures.com/	http://ravemotionpictures.com/values-discounts.aspx	Values & Discounts	Probably not likely	Other	Good		
http://touch.gayromeo.com/	http://www.gayromeo.com/00000000000000000000000000000000/search/index.php?action=execute&searchType=myVisitors	Recherche	NJ		NJ		
http://touch.gayromeo.com/	http://www.gayromeo.com/?jump=youtube_open_letter	Regt Sich Aber Tierisch Auf	Very likely		Bad		
http://touch.gayromeo.com/	http://touch.gayromeo.com/	<b>GayRomeo </b>(Touch)	Probably likely		Fair	Home	
http://touch.gayromeo.com/	http://www.gayromeo.com/00000000000000000000000000000000/main/logout/	planetromeo	Probably likely		Fair	PlanetRomeo	
http://touch.gayromeo.com/	http://www.gayromeo.com/search/?action=executePredefined&searchType=predefined&name=sm/dirty	Dirty	NJ	404	NJ		
http://touch.gayromeo.com/	http://www.gayromeo.com/?jump=escorts	Erados	Probably likely		Bad	Escorts	
https://mperks.meijer.com/	http://help.meijer.com/app/ask	Ask a Question	Probably likely		Good		Create Account, Sign In (links for these QL in list were broken), FAQs
https://mperks.meijer.com/	https://mperks.meijer.com/mperks/Login/Authenticate	<b>Sign </b>In	Definitely not likely	Other	Bad		Create Account, Sign In (links for these QL in list were broken), FAQs
https://mperks.meijer.com/	https://mperks.meijer.com/mperks/About	About Mperks	Very likely		Excellent		Create Account, Sign In (links for these QL in list were broken), FAQs
https://mperks.meijer.com/	https://accounts.meijer.com/profile/SignIn.aspx	Shop	Definitely not likely	404	NJ		Create Account, Sign In (links for these QL in list were broken), FAQs
https://mperks.meijer.com/	https://mperks.meijer.com/mperks/Login/CreateAccount	Create Account	Definitely not likely	Other	Bad		Create Account, Sign In (links for these QL in list were broken), FAQs
https://mperks.meijer.com/	http://help.meijer.com/app/answers/detail/a_id/1885/~/what-is-mperks%3F	What is <b>mPerks</b>	Probably likely		Good		Create Account, Sign In (links for these QL in list were broken), FAQs
http://apod.nasa.gov/apod/astropix.html	http://www.nasa.gov/multimedia/imagegallery/iotd.html	Image of the Day Gallery	Very likely		Fair	Gallery	
http://apod.nasa.gov/apod/astropix.html	http://apod.nasa.gov/apod/archivepix.html	Archive	Probably likely		Excellent		
http://apod.nasa.gov/apod/astropix.html	http://apod.nasa.gov/apod/ap090613.html	<b>The </b>Milky Way	Probably not likely	Topic too specific	Excellent		
http://apod.nasa.gov/apod/astropix.html	http://apod.nasa.gov/apod/calendar/allyears.html	Calendar	Very likely		Excellent		
http://apod.nasa.gov/apod/astropix.html	http://apod.nasa.gov/apod/ap120718.html	July 18 - a Hole in Mars	Probably not likely	Topic too specific	Fair	A Hole in Mars	
http://apod.nasa.gov/apod/astropix.html	http://apod.nasa.gov/apod/lib/about_apod.html#srapply	About <b>APOD</b>	Very likely		Excellent		
http://metbabes.com/	http://www.metbabes.com/crtr/cgi/out.cgi?l=hardlink&id=golderotica.com	Gold Erotica	Definitely not likely	Other	Excellent		N/A: The listed Quicklinks are for related websites. Seed URL domain seems to be a poor candidate for QL within the site, as all of the links from the main page are either for the individual models/shoots, or for external pages.
http://metbabes.com/	http://www.metbabes.com/crtr/cgi/out.cgi?id=55&l=bottom_thumb_top&trade=http://www.ibizababes.com/	Ibiza <b>Babes</b>	Definitely not likely	Other	Excellent		N/A: The listed Quicklinks are for related websites. Seed URL domain seems to be a poor candidate for QL within the site, as all of the links from the main page are either for the individual models/shoots, or for external pages.
http://metbabes.com/	http://www.metbabes.com/crtr/cgi/out.cgi?id=164&l=bottom_thumb_top&trade=http://www.tastyass.com/	Nice Ass	Definitely not likely	Other	Excellent		N/A: The listed Quicklinks are for related websites. Seed URL domain seems to be a poor candidate for QL within the site, as all of the links from the main page are either for the individual models/shoots, or for external pages.
http://metbabes.com/	http://metbabes.com/crtr/cgi/out.cgi?id=27&tag=toplist&trade=http://www.atkmodels.com/	ATK <b>Models</b>	Definitely not likely	Other	Excellent		N/A: The listed Quicklinks are for related websites. Seed URL domain seems to be a poor candidate for QL within the site, as all of the links from the main page are either for the individual models/shoots, or for external pages.
http://metbabes.com/	http://metbabes.com/crtr/cgi/out.cgi?id=79&tag=toplist&trade=http://www.skinny19.com	Skinny 19	Definitely not likely	Other	Excellent		N/A: The listed Quicklinks are for related websites. Seed URL domain seems to be a poor candidate for QL within the site, as all of the links from the main page are either for the individual models/shoots, or for external pages.
http://metbabes.com/	http://www.metbabes.com/crtr/cgi/out.cgi?id=25&l=bottom_thumb_top&trade=http://www.eroticphoto.ws/	Erotic Photo	Definitely not likely	Other	Good		N/A: The listed Quicklinks are for related websites. Seed URL domain seems to be a poor candidate for QL within the site, as all of the links from the main page are either for the individual models/shoots, or for external pages.
https://zynga.com/	https://zynga.com/games	<b>Games</b>	Very likely		Excellent		Jobs
https://zynga.com/	http://company.zynga.com/about/contact.php	Contact Us	Definitely not likely	404	NJ		Jobs
https://zynga.com/	https://support.zynga.com/	<b>Zynga </b>Support	Probably likely		Excellent		Jobs
https://zynga.com/	https://zynga.com/games/castleville	CastleVille	Probably likely		Excellent		Jobs
https://zynga.com/	https://zynga.com/games/farmville-2	<b>Farmville 2</b>	Probably likely		Excellent		Jobs
https://zynga.com/	https://zynga.com/games/cityville	CityVille	Probably likely		Excellent		Jobs
https://www.ibank.barclays.co.uk/	https://bank.barclays.co.uk/olb/auth/MobiLoginLink.action	<b>Barclays </b>Online <b>Banking</b>	Definitely not likely	Other	Fair	Online Banking	
https://www.ibank.barclays.co.uk/	http://www.barclays.co.uk/PersonalBanking/P1242557947640	Personal Banking	Very likely		Excellent		
https://www.ibank.barclays.co.uk/	https://ibank.barclays.co.uk/olb/u/MobiLoginMember.do	<b>Login</b>	Probably not likely	Other	Fair	Mobile Login	
https://www.ibank.barclays.co.uk/	http://www.barclays.co.uk/P1242652327568	<b>Online </b>Banking	Probably likely		Good		
https://www.ibank.barclays.co.uk/	http://www.barclays.co.uk/P1242601270985	Business Banking	Very likely		Excellent		
https://www.ibank.barclays.co.uk/	http://www.barclays.co.uk/Helpsupport/LoggingintoOnlineBanking/P1242604492621	Logging <b>in </b>to Online <b>Banking</b>	Probably likely		Fair	Logging In	
http://detroit.justweather.com/	http://detroit.justweather.com/?default=true	<b>Detroit </b>Weather	Definitely not likely	Other	Good		
http://detroit.justweather.com/	http://detroit.justweather.com/search/	Weather Forecast Search	Very likely		Good		
http://detroit.justweather.com/	http://detroit.justweather.com/detroit/	Detailed Seven Day Forecast	Very likely		Fair	Detailed Forecast	
http://detroit.justweather.com/	http://houston.justweather.com/	Houston	Probably not likely	Other	Excellent		
http://detroit.justweather.com/	http://justweather.com/radar/?site=Detroit	<b>Radar </b>Page	Very likely		Fair	Radar	
http://detroit.justweather.com/	http://detroit.justweather.com/radar/	<b>Radar</b>	Very likely		Excellent		
http://www.femandjoy.com/	http://www.femandjoy.com/crtr/cgi/out.cgi?id=75&tag=toplist&trade=http://www.naked-nature-girls.com/?id=femandjoy.com	Nature <b>Girls</b>	Probably likely		Good		
http://www.femandjoy.com/	http://www.femandjoy.com/crtr/cgi/out.cgi?id=22&tag=toplist&trade=http://www.karupstars.com/tgp.shtml	Amateur <b>Girls</b>	Probably likely		Excellent		
